Time microphone-A_pFluct microphone-B_pFluct microphone-C_pFluct 
7.5e-06 -0.0838483 -0.605688 -0.575544 
1.75e-05 10.2204 8.64835 5.59375 
2.75e-05 8.62277 7.51326 5.00998 
3.75e-05 13.0812 11.0042 7.04068 
4.75e-05 11.5867 9.55676 6.01485 
5.75e-05 11.831 9.21194 5.45891 
6.75e-05 8.37979 7.64278 5.29665 
7.75e-05 13.4847 11.1895 7.06146 
8.75e-05 9.10479 7.68122 4.96806 
9.75e-05 11.8888 9.24755 5.47266 
0.0001075 9.87911 9.01459 6.22524 
0.0001175 11.7186 9.24373 5.55597 
0.0001275 11.5337 9.89508 6.46221 
0.0001375 11.0969 9.34136 5.99965 
0.0001475 11.7484 10.1747 6.69845 
0.0001575 11.1585 10.1066 6.91962 
0.0001675 11.9215 9.95777 6.33835 
0.0001775 11.1238 9.68028 6.40674 
0.0001875 12.392 9.82407 5.92761 
0.0001975 10.8864 9.50706 6.31404 
0.0002075 12.6924 10.8452 7.04199 
0.0002175 11.3602 9.20663 5.69411 
0.0002275 12.3102 10.6384 6.98276 
0.0002375 12.4737 10.4982 6.72327 
0.0002475 11.3147 9.36042 5.9086 
0.0002575 13.99 11.5829 7.28603 
0.0002675 12.5375 10.5263 6.72469 
0.0002775 12.1292 10.2367 6.57598 
0.0002875 11.4746 9.44902 5.9353 
0.0002975 11.9658 10.1253 6.52183 
0.0003075 11.8983 10.4512 6.96224 
0.0003175 12.1366 10.6168 7.04448 
0.0003275 12.9281 11.0073 7.11957 
0.0003375 12.5511 10.7939 7.04942 
0.0003475 11.9545 9.95032 6.30908 
0.0003575 12.9166 11.1456 7.29713 
0.0003675 11.7468 10.3723 6.94158 
0.0003775 14.3687 12.2611 7.93145 
0.0003875 11.5382 10.2036 6.8394 
0.0003975 11.8125 9.9191 6.34299 
0.0004075 13.5187 11.9662 8.00488 
0.0004175 11.0792 9.21177 5.84287 
0.0004275 14.9831 12.2942 7.65303 
0.0004375 11.7989 10.0931 6.56586 
0.0004475 13.2226 10.5279 6.36821 
0.0004575 13.9244 12.5687 8.54329 
0.0004675 12.3223 9.98861 6.16381 
0.0004775 13.5512 11.28 7.13299 
0.0004875 12.1759 10.97 7.46063 
0.0004975 11.8992 10.3203 6.79548 
0.0005075 15.2971 12.8156 8.13755 
0.0005175 11.6391 10.0209 6.55755 
0.0005275 14.9617 13.0541 8.60796 
0.0005375 12.5522 10.8537 7.11974 
0.0005475 11.6908 10.8153 7.51855 
0.0005575 14.6637 11.9088 7.33669 
0.0005675 12.8597 10.877 6.98857 
0.0005775 14.6252 12.4177 7.98963 
0.0005875 12.145 10.9875 7.49649 
0.0005975 14.2708 12.5276 8.30986 
0.0006075 12.7576 11.1254 7.34982 
0.0006175 15.0011 12.8025 8.27258 
0.0006275 13.2337 10.7481 6.63299 
0.0006375 13.5248 11.4717 7.38213 
0.0006475 13.7624 11.1164 6.81674 
0.0006575 13.0419 10.9336 6.9628 
0.0006675 14.5334 12.2815 7.8662 
0.0006775 12.4035 11.0729 7.46707 
0.0006875 13.0611 11.2054 7.29055 
0.0006975 14.723 12.7661 8.37013 
0.0007075 14.0681 11.8931 7.62346 
0.0007175 14.4695 12.9846 8.77316 
0.0007275 12.5991 10.5826 6.75451 
0.0007375 14.2974 12.4594 8.20861 
0.0007475 13.4076 11.405 7.358 
0.0007575 15.0805 12.7741 8.19357 
0.0007675 13.3386 11.5294 7.54819 
0.0007775 13.0359 11.3349 7.46295 
0.0007875 15.323 12.8239 8.12912 
0.0007975 12.7113 10.8187 6.98866 
0.0008075 16.0544 13.5433 8.64442 
0.0008175 11.7787 10.0279 6.48814 
0.0008275 16.6453 13.7485 8.59297 
0.0008375 13.3374 11.7476 7.81903 
0.0008475 14.9463 11.9907 7.28666 
0.0008575 13.2197 11.1555 7.14293 
0.0008675 14.4345 12.5437 8.23998 
0.0008775 12.3619 10.9086 7.28037 
0.0008875 16.1126 13.3987 8.43296 
0.0008975 12.6974 11.2462 7.5261 
0.0009075 14.8223 12.8715 8.44591 
0.0009175 13.3291 11.3916 7.3789 
0.0009275 13.9121 12.2089 8.09319 
0.0009375 15.1861 12.6667 8.00164 
0.0009475 13.8295 12.0785 7.97336 
0.0009575 13.6247 11.7635 7.68743 
0.0009675 15.5088 12.9591 8.19759 
0.0009775 13.1898 11.431 7.49894 
0.0009875 15.5984 13.0567 8.27208 
0.0009975 13.5977 12.0646 8.07535 
0.0010075 15.8841 13.0438 8.10745 
0.0010175 11.9097 9.89415 6.24998 
0.0010275 15.454 13.1253 8.43163 
0.0010375 15.4223 12.2169 7.31762 
0.0010475 12.0206 9.75449 6.01822 
0.0010575 16.221 14.1768 9.34179 
0.0010675 13.4785 11.469 7.39485 
0.0010775 13.336 11.2955 7.25283 
0.0010875 15.3114 13.2184 8.62044 
0.0010975 13.379 11.6012 7.6105 
0.0011075 14.4883 12.793 8.5177 
0.0011175 13.8583 11.4989 7.23409 
0.0011275 15.6611 12.7881 7.90282 
0.0011375 13.8623 11.9745 7.82353 
0.0011475 13.5506 11.0092 6.78389 
0.0011575 15.2788 13.3107 8.75096 
0.0011675 14.1109 12.0166 7.74636 
0.0011775 14.8211 12.4848 7.9603 
0.0011875 14.4019 11.3843 6.80828 
0.0011975 13.8107 11.348 7.06975 
0.0012075 15.8274 13.0412 8.13027 
0.0012175 13.7363 11.4011 7.17412 
0.0012275 13.6741 10.9237 6.61215 
0.0012375 15.5413 12.6241 7.75918 
0.0012475 13.5979 11.5614 7.44491 
0.0012575 13.9852 12.0373 7.83602 
0.0012675 16.4979 13.2136 7.99595 
0.0012775 11.7081 9.92238 6.38533 
0.0012875 15.8625 13.4044 8.56265 
0.0012975 13.3327 11.3401 7.30626 
0.0013075 14.5288 12.028 7.54152 
0.0013175 14.9384 11.9977 7.29122 
0.0013275 14.0639 11.7285 7.4098 
0.0013375 12.6066 10.434 6.55485 
0.0013475 15.2658 12.4375 7.66824 
0.0013575 14.3368 11.9949 7.59924 
0.0013675 13.4219 11.4262 7.36609 
0.0013775 14.3379 11.2592 6.68291 
0.0013875 14.6241 11.7305 7.1208 
0.0013975 15.5922 12.6289 7.7363 
0.0014075 13.989 10.6076 6.05285 
0.0014175 13.216 10.8893 6.80418 
0.0014275 16.0037 11.9348 6.65889 
0.0014375 12.8588 10.9089 7.01371 
0.0014475 13.397 11.3265 7.25391 
0.0014575 14.538 11.4193 6.77736 
0.0014675 13.205 10.9378 6.86964 
0.0014775 15.1372 12.5885 7.92115 
0.0014875 13.406 10.4275 6.13009 
0.0014975 15.218 12.2997 7.51955 
0.0015075 12.5605 9.79594 5.78265 
0.0015175 15.3501 12.5871 7.80849 
0.0015275 11.5931 9.51477 5.93444 
0.0015375 14.5255 11.4597 6.83316 
0.0015475 14.2486 11.3796 6.877 
0.0015575 13.9987 11.1055 6.66553 
0.0015675 13.3392 9.99104 5.62084 
0.0015775 14.6467 11.4611 6.77161 
0.0015875 12.6113 10.1584 6.20644 
0.0015975 14.2348 10.407 5.67358 
0.0016075 14.4615 11.3287 6.70279 
0.0016175 13.9556 10.7908 6.29586 
0.0016275 12.4918 9.91955 5.97097 
0.0016375 13.0318 10.0238 5.82057 
0.0016475 13.2945 10.1275 5.81321 
0.0016575 13.3371 10.8426 6.68082 
0.0016675 14.4254 11.2239 6.59057 
0.0016775 12.6836 9.51204 5.36401 
0.0016875 13.9744 11.4547 7.1115 
0.0016975 12.5026 9.38905 5.30469 
0.0017075 13.9604 10.1096 5.44498 
0.0017175 11.5409 9.45295 5.88298 
0.0017275 14.6971 11.3005 6.54452 
0.0017375 12.6135 9.78758 5.74276 
0.0017475 13.3185 9.48863 5.00498 
0.0017575 12.2688 9.62495 5.71912 
0.0017675 13.8559 10.1605 5.56215 
0.0017775 14.3458 10.5377 5.77732 
0.0017875 12.6436 9.00217 4.74968 
0.0017975 11.7753 8.51673 4.59605 
0.0018075 13.4879 9.76576 5.26179 
0.0018175 12.0602 9.22476 5.3292 
0.0018275 12.2 8.96005 4.92727 
0.0018375 12.8784 9.70015 5.4962 
0.0018475 11.7992 8.99358 5.17683 
0.0018575 14.6691 11.0042 6.18978 
0.0018675 11.07 7.59084 3.80959 
0.0018775 13.8203 10.6603 6.20213 
0.0018875 12.3382 8.21411 3.9272 
0.0018975 11.6896 8.83638 5.03793 
0.0019075 12.2941 8.77288 4.64535 
0.0019175 12.8047 9.3649 5.11711 
0.0019275 12.0598 8.73331 4.71758 
0.0019375 12.16 8.34512 4.18259 
0.0019475 12.3579 8.76088 4.5973 
0.0019575 12.4952 8.93595 4.74391 
0.0019675 13.0737 8.83508 4.3183 
0.0019775 11.8436 8.12038 4.06714 
0.0019875 12.2697 8.59006 4.43057 
0.0019975 10.1492 6.23237 2.59693 
0.0020075 12.8563 9.14189 4.813 
0.0020175 12.0245 8.74107 4.74577 
0.0020275 11.7984 7.94535 3.87291 
0.0020375 11.5775 8.23098 4.34295 
0.0020475 11.3024 8.41881 4.71939 
0.0020575 11.3838 7.37335 3.37625 
0.0020675 11.5128 8.29255 4.45313 
0.0020775 11.0828 6.75727 2.76589 
0.0020875 11.297 7.78803 3.93741 
0.0020975 10.9434 7.50799 3.77239 
0.0021075 11.6388 7.92608 3.93194 
0.0021175 11.6573 8.48653 4.61969 
0.0021275 10.5014 6.64046 2.92229 
0.0021375 12.3896 8.24372 3.93774 
0.0021475 8.84608 5.20018 1.98898 
0.0021575 12.886 8.02801 3.41196 
0.0021675 9.83915 6.59204 3.20589 
0.0021775 9.27392 5.38762 2.0005 
0.0021875 11.9292 7.59556 3.37047 
0.0021975 11.6358 8.49903 4.64692 
0.0022075 9.70912 6.10167 2.66338 
0.0022175 10.2227 6.87063 3.35381 
0.0022275 10.9736 7.28854 3.48432 
0.0022375 8.04983 5.02213 2.18101 
0.0022475 11.0638 7.22511 3.35871 
0.0022575 11.714 7.91074 3.87458 
0.0022675 9.36073 5.5712 2.18433 
0.0022775 9.93286 5.84742 2.23132 
0.0022875 9.64437 6.71363 3.45887 
0.0022975 10.7141 6.82833 3.04667 
0.0023075 9.41702 5.99903 2.68773 
0.0023175 9.52765 5.93123 2.54603 
0.0023275 9.48051 5.54517 2.09018 
0.0023375 10.172 6.36928 2.75697 
0.0023475 10.4294 6.44884 2.72256 
0.0023575 8.29575 4.19058 1.01954 
0.0023675 10.2872 6.02655 2.27107 
0.0023775 8.50784 4.67014 1.50648 
0.0023875 9.49234 6.33665 3.06949 
0.0023975 9.64188 6.057 2.644 
0.0024075 9.26486 6.12706 2.9268 
0.0024175 7.31875 4.11456 1.43227 
0.0024275 11.1032 7.34607 3.49008 
0.0024375 6.86215 3.68527 1.1351 
0.0024475 8.96688 5.23108 1.96678 
0.0024575 9.4868 5.17705 1.62995 
0.0024675 8.78473 5.27681 2.1184 
0.0024775 6.68391 3.87884 1.4688 
0.0024875 9.92863 5.69721 2.04824 
