Freq p' spl
0 0.723918 91.1732
1.68374 0.171883 78.6841
3.36747 0.424944 86.546
5.05121 0.100805 74.049
6.73494 0.398406 85.9859
8.41868 0.183776 79.2652
10.1024 0.302808 83.6028
11.7861 0.368469 85.3074
13.4699 0.563287 88.994
15.1536 0.197234 79.879
16.8374 0.950146 93.5352
18.5211 0.547313 88.7441
20.2048 0.675798 90.5757
21.8886 0.31574 83.966
23.5723 0.290158 83.2321
25.256 0.442099 86.8898
26.9398 0.874013 92.8098
28.6235 0.952462 93.5564
30.3072 0.874876 92.8183
31.991 0.879259 92.8617
33.6747 0.687408 90.7237
35.3584 0.601026 89.5573
37.0422 0.482822 87.6551
38.7259 0.121392 75.6632
40.4097 1.27821 96.1115
42.0934 0.820497 92.2609
43.7771 1.49266 97.4586
45.4609 1.25538 95.9549
47.1446 0.31551 83.9597
48.8283 0.677367 90.5959
50.5121 0.908855 93.1493
52.1958 0.45273 87.0962
53.8795 0.168889 78.5314
55.5633 1.92175 99.6534
57.247 0.345279 84.7428
58.9307 0.949612 93.5303
60.6145 1.28323 96.1455
62.2982 1.63732 98.2621
63.982 0.337295 84.5396
65.6657 0.946535 93.5021
67.3494 1.37849 96.7675
69.0332 2.1745 100.727
70.7169 0.956349 93.5917
72.4006 0.646644 90.1927
74.0844 1.16877 95.334
75.7681 1.35629 96.6264
77.4518 1.22796 95.7631
79.1356 0.717778 91.0992
80.8193 2.92379 103.298
82.503 1.18999 95.4902
84.1868 1.25686 95.9652
85.8705 1.2454 95.8856
87.5542 2.55156 102.116
89.238 4.64117 107.312
90.9217 4.41527 106.879
92.6055 2.96392 103.417
94.2892 2.02226 100.096
95.9729 4.12931 106.297
97.6567 1.46645 97.3047
99.3404 3.85791 105.706
101.024 2.58892 102.242
102.708 6.44074 110.158
104.392 2.19484 100.807
106.075 4.63129 107.293
107.759 2.53094 102.045
109.443 2.58179 102.218
111.127 5.78599 109.227
112.81 2.25744 101.052
114.494 4.71049 107.441
116.178 0.619751 89.8237
117.861 5.56094 108.882
119.545 6.80681 110.638
121.229 5.77482 109.21
122.913 11.2746 115.021
124.596 4.59971 107.234
126.28 8.20839 112.265
127.964 15.4841 117.777
129.648 9.33534 113.382
131.331 16.0701 118.1
133.015 15.5771 117.829
134.699 8.20172 112.257
136.383 8.85774 112.926
138.066 21.9312 120.801
139.75 8.76816 112.838
141.434 4.38211 106.813
143.118 6.14702 109.753
144.801 7.76866 111.786
146.485 7.06312 110.959
148.169 12.7424 116.084
149.852 8.9202 112.987
151.536 8.14665 112.199
153.22 3.14232 103.924
154.904 1.13004 95.0413
156.587 3.08722 103.771
158.271 1.42003 97.0253
159.955 3.72809 105.409
161.639 1.63377 98.2432
163.322 2.44127 101.732
165.006 1.24252 95.8655
166.69 0.260225 82.2864
168.374 1.70379 98.6077
170.057 1.59782 98.05
171.741 1.50226 97.5143
173.425 0.521444 88.3236
175.108 1.15689 95.2453
176.792 2.43289 101.702
178.476 2.12331 100.52
180.16 0.946636 93.5031
181.843 2.19322 100.801
183.527 1.58027 97.954
185.211 1.71813 98.6805
186.895 1.19741 95.5443
188.578 3.99572 106.011
190.262 3.4478 104.73
191.946 1.89706 99.541
193.63 2.29938 101.212
195.313 4.67644 107.378
196.997 2.20128 100.833
198.681 3.11008 103.835
200.365 1.87317 99.4309
202.048 2.32657 101.314
203.732 1.55448 97.8111
205.416 1.12806 95.0261
207.099 4.93295 107.842
208.783 2.78041 102.862
210.467 3.38228 104.564
212.151 1.48265 97.4001
213.834 0.540874 88.6413
215.518 5.86201 109.34
217.202 1.96067 99.8275
218.886 3.76812 105.502
220.569 2.60693 102.302
222.253 1.76093 98.8943
223.937 1.26493 96.0207
225.621 3.73687 105.43
227.304 2.6986 102.602
228.988 2.65682 102.467
230.672 3.84859 105.685
232.356 2.54988 102.11
234.039 6.60513 110.377
235.723 2.83089 103.018
237.407 4.81408 107.63
239.09 5.59694 108.938
240.774 1.17864 95.407
242.458 6.91703 110.778
244.142 3.05824 103.689
245.825 4.44216 106.931
247.509 1.21446 95.6671
249.193 5.06066 108.064
250.877 1.2764 96.0992
252.56 2.26302 101.073
254.244 3.3835 104.567
255.928 0.489881 87.7812
257.612 3.4585 104.757
259.295 3.76224 105.488
260.979 1.29308 96.2119
262.663 2.32176 101.296
264.346 2.31058 101.254
266.03 1.35305 96.6057
267.714 3.12371 103.873
269.398 0.766011 91.6641
271.081 3.37161 104.536
272.765 4.14255 106.325
274.449 7.58232 111.575
276.133 2.47169 101.839
277.816 1.88122 99.4682
279.5 4.48179 107.008
