Freq p' spl
0 1.52022 97.6175
1.68374 0.129268 76.2092
3.36747 0.297235 83.4414
5.05121 0.0859585 72.6652
6.73494 0.188602 79.4903
8.41868 0.104612 74.371
10.1024 0.230132 81.2189
11.7861 0.314484 83.9314
13.4699 0.359882 85.1026
15.1536 0.24314 81.6965
16.8374 0.803326 92.0772
18.5211 0.367766 85.2908
20.2048 0.413178 86.3021
21.8886 0.117239 75.3608
23.5723 0.256673 82.167
25.256 0.526745 88.4114
26.9398 0.629603 89.9607
28.6235 0.763611 91.6368
30.3072 0.900131 93.0655
31.991 0.583065 89.2937
33.6747 0.589142 89.3838
35.3584 0.421737 86.4802
37.0422 0.314819 83.9406
38.7259 0.101961 74.1481
40.4097 1.0561 94.4535
42.0934 0.836611 92.4299
43.7771 1.39133 96.848
45.4609 0.988167 93.876
47.1446 0.251632 81.9947
48.8283 0.784582 91.8722
50.5121 0.623471 89.8757
52.1958 0.187914 79.4586
53.8795 0.436396 86.777
55.5633 1.56864 97.8899
57.247 0.267252 82.5178
58.9307 0.859195 92.6612
60.6145 1.02943 94.2313
62.2982 1.34456 96.551
63.982 0.36174 85.1473
65.6657 0.801259 92.0549
67.3494 1.02754 94.2153
69.0332 1.64216 98.2877
70.7169 0.917245 93.2291
72.4006 0.817377 92.2278
74.0844 0.855846 92.6273
75.7681 0.694132 90.8082
77.4518 1.10766 94.8675
79.1356 0.784739 91.8739
80.8193 2.95079 103.378
82.503 1.19687 95.5404
84.1868 1.01976 94.1493
85.8705 1.43427 97.112
87.5542 2.29173 101.183
89.238 3.93613 105.881
90.9217 3.59334 105.089
92.6055 2.70773 102.632
94.2892 0.97611 93.7694
95.9729 3.41453 104.646
97.6567 1.62668 98.2055
99.3404 3.66612 105.264
101.024 2.07231 100.308
102.708 5.29704 108.46
104.392 1.62159 98.1782
106.075 3.68236 105.302
107.759 0.703662 90.9267
109.443 2.92388 103.299
111.127 6.1545 109.763
112.81 2.22487 100.925
114.494 4.48009 107.005
116.178 0.972219 93.7347
117.861 5.32915 108.513
119.545 7.33058 111.282
121.229 4.35031 106.75
122.913 9.82376 113.825
124.596 4.12567 106.289
126.28 7.04191 110.933
127.964 13.3714 116.503
129.648 8.15691 112.21
131.331 14.9542 117.475
133.015 13.2745 116.44
134.699 6.90985 110.769
136.383 6.81583 110.65
138.066 18.9795 119.545
139.75 6.93139 110.796
141.434 2.77186 102.835
143.118 5.59827 108.94
144.801 6.56837 110.329
146.485 5.61635 108.968
148.169 10.517 114.417
149.852 7.66736 111.672
151.536 6.42488 110.137
153.22 3.28753 104.317
154.904 1.38212 96.7903
156.587 2.24139 100.99
158.271 0.90616 93.1235
159.955 3.02584 103.596
161.639 1.17386 95.3717
163.322 1.65713 98.3665
165.006 2.00358 100.016
166.69 1.0592 94.479
168.374 2.04433 100.19
170.057 2.04833 100.207
171.741 1.15262 95.2131
173.425 1.20161 95.5747
175.108 1.18647 95.4645
176.792 2.20278 100.839
178.476 1.98252 99.9238
180.16 0.58225 89.2816
181.843 1.66407 98.4028
183.527 1.30475 96.2899
185.211 1.96695 99.8552
186.895 0.687787 90.7285
188.578 3.59857 105.102
190.262 3.23455 104.176
191.946 1.64812 98.3192
193.63 1.55245 97.7997
195.313 4.10606 106.248
196.997 1.16178 95.2819
198.681 2.36263 101.447
200.365 1.00756 94.0448
202.048 1.83419 99.2483
203.732 0.96339 93.6554
205.416 1.19577 95.5324
207.099 4.52489 107.092
208.783 2.31251 101.261
210.467 3.54664 104.976
212.151 1.37935 96.7729
213.834 0.75891 91.5832
215.518 4.65695 107.341
217.202 0.835036 92.4135
218.886 3.47305 104.794
220.569 1.36355 96.6728
222.253 1.52792 97.6614
223.937 1.32257 96.4077
225.621 3.12042 103.864
227.304 2.60147 102.284
228.988 2.88535 103.183
230.672 3.19559 104.07
232.356 2.07189 100.307
234.039 4.64249 107.314
235.723 2.03998 100.172
237.407 4.50218 107.048
239.09 5.05185 108.048
240.774 1.71514 98.6654
242.458 5.91426 109.417
244.142 2.78905 102.889
245.825 3.89961 105.8
247.509 1.86096 99.3741
249.193 4.02449 106.074
250.877 2.34836 101.395
252.56 2.25361 101.037
254.244 3.93998 105.889
255.928 1.51063 97.5626
257.612 2.38398 101.525
259.295 3.80197 105.58
260.979 1.28395 96.1503
262.663 2.22671 100.933
264.346 1.88689 99.4943
266.03 3.06079 103.696
267.714 3.74883 105.457
269.398 0.844354 92.5099
271.081 1.76361 98.9074
272.765 3.3353 104.442
274.449 4.80884 107.62
276.133 2.7006 102.609
277.816 2.61157 102.317
279.5 3.7244 105.401
281.184 1.0381 94.3042
282.868 0.38025 85.5808
284.551 1.73357 98.7582
286.235 3.86013 105.711
287.919 0.538416 88.6018
289.603 1.30349 96.2816
291.286 3.42712 104.678
292.97 1.50407 97.5248
294.654 0.805745 92.1034
296.337 3.60011 105.106
298.021 1.06965 94.5642
299.705 1.4812 97.3916
301.389 3.70653 105.359
303.072 2.50044 101.94
304.756 0.437099 86.791
306.44 0.314352 83.9277
308.124 0.802824 92.0718
309.807 1.89468 99.5301
311.491 2.188 100.78
313.175 0.0386377 65.7196
314.859 0.710318 91.0085
316.542 2.27942 101.136
318.226 2.83589 103.033
319.91 2.51874 102.003
321.593 2.25503 101.042
323.277 0.925219 93.3043
324.961 3.08019 103.751
326.645 2.24412 101
328.328 1.14364 95.1452
330.012 1.48502 97.414
331.696 0.604925 89.6134
333.38 1.75454 98.8627
335.063 4.1297 106.298
336.747 0.97729 93.7799
338.431 1.4257 97.06
340.115 1.48255 97.3996
341.798 0.233535 81.3464
343.482 1.97734 99.901
345.166 1.48939 97.4396
346.85 2.79771 102.915
348.533 1.03324 94.2635
350.217 0.898999 93.0546
351.901 1.46429 97.2919
353.584 1.14212 95.1337
355.268 1.70289 98.6031
356.952 1.70308 98.6041
358.636 1.57654 97.9335
360.319 0.428984 86.6282
362.003 2.79346 102.902
363.687 0.473882 87.4928
365.371 2.26762 101.091
367.054 2.06998 100.299
368.738 1.66795 98.423
370.422 1.5688 97.8907
372.106 1.33052 96.4598
373.789 0.905137 93.1137
375.473 1.7258 98.7192
377.157 3.19924 104.08
378.84 0.546012 88.7235
380.524 2.42786 101.684
382.208 1.63997 98.2761
383.892 0.656543 90.3247
385.575 1.32683 96.4357
387.259 1.27796 96.1097
388.943 0.50334 88.0166
390.627 0.33057 84.3647
392.31 0.513498 88.1902
393.994 1.68446 98.5086
395.678 0.493607 87.847
397.362 2.69952 102.605
399.045 0.607539 89.6509
400.729 1.3526 96.6028
402.413 1.32193 96.4036
404.097 0.877952 92.8488
405.78 0.756932 91.5605
407.464 1.62859 98.2156
409.148 1.37282 96.7317
410.831 1.77322 98.9546
412.515 1.38024 96.7785
414.199 0.884422 92.9126
415.883 2.81159 102.958
417.566 2.45841 101.792
419.25 1.8959 99.5357
420.934 2.0955 100.405
