Freq p' spl
0 1.79954 99.0826
1.68374 0.0893549 73.0018
3.36747 0.139422 76.866
5.05121 0.0709793 71.002
6.73494 0.0871462 72.7844
8.41868 0.0499851 67.9562
10.1024 0.133626 76.4972
11.7861 0.210131 80.4292
13.4699 0.15852 77.9811
15.1536 0.191596 79.6271
16.8374 0.506413 88.0695
18.5211 0.185044 79.3249
20.2048 0.172737 78.7271
21.8886 0.0817819 72.2325
23.5723 0.185513 79.3469
25.256 0.435653 86.7622
26.9398 0.359961 85.1045
28.6235 0.464674 87.3224
30.3072 0.663298 90.4136
31.991 0.289406 83.2096
33.6747 0.413219 86.303
35.3584 0.218596 80.7723
37.0422 0.146453 77.2933
38.7259 0.149138 77.4512
40.4097 0.650689 90.2469
42.0934 0.617671 89.7945
43.7771 0.9823 93.8243
45.4609 0.606575 89.6371
47.1446 0.14861 77.4204
48.8283 0.625527 89.9043
50.5121 0.341597 84.6497
52.1958 0.18325 79.2403
53.8795 0.453739 87.1155
55.5633 0.957221 93.5996
57.247 0.247726 81.8588
58.9307 0.57765 89.2127
60.6145 0.61947 89.8198
62.2982 0.874842 92.818
63.982 0.359191 85.0859
65.6657 0.540658 88.6379
67.3494 0.57139 89.1181
69.0332 0.921663 93.2708
70.7169 0.644042 90.1577
72.4006 0.764757 91.6499
74.0844 0.468838 87.3998
75.7681 0.263926 82.409
77.4518 0.751366 91.4964
79.1356 0.620428 89.8332
80.8193 2.1546 100.647
82.503 0.873859 92.8082
84.1868 0.619366 89.8183
85.8705 1.2398 95.8464
87.5542 1.53166 97.6827
89.238 2.49519 101.921
90.9217 2.18361 100.763
92.6055 1.84863 99.3164
94.2892 0.283892 83.0425
95.9729 2.18185 100.756
97.6567 1.32549 96.4269
99.3404 2.55918 102.141
101.024 1.2378 95.8324
102.708 3.25087 104.219
104.392 0.888536 92.9529
106.075 2.23207 100.954
107.759 0.503621 88.0215
109.443 2.2974 101.204
111.127 4.73464 107.485
112.81 1.64539 98.3048
114.494 3.23014 104.164
116.178 1.13276 95.0622
117.861 3.75111 105.463
119.545 5.59811 108.94
121.229 2.42754 101.683
122.913 6.38664 110.085
124.596 2.76033 102.799
126.28 4.55688 107.153
127.964 8.62352 112.693
129.648 5.49842 108.784
131.331 10.2856 114.224
133.015 8.47167 112.539
134.699 4.37574 106.8
136.383 3.95452 105.921
138.066 12.2813 115.764
139.75 4.11352 106.264
141.434 1.21058 95.6393
143.118 3.97657 105.97
144.801 4.15065 106.342
146.485 3.38847 104.579
148.169 6.47922 110.21
149.852 4.91681 107.813
151.536 3.76958 105.505
153.22 2.59899 102.275
154.904 1.14289 95.1395
156.587 1.21506 95.6713
158.271 0.431517 86.6794
159.955 2.03383 100.146
161.639 0.682451 90.6608
163.322 1.07152 94.5794
165.006 1.91964 99.6438
166.69 1.23511 95.8135
168.374 1.73361 98.7584
170.057 1.9243 99.6649
171.741 1.10637 94.8574
173.425 1.63261 98.237
175.108 0.892278 92.9894
176.792 1.63203 98.234
178.476 1.36721 96.6961
180.16 0.793629 91.9717
181.843 1.06541 94.5298
183.527 1.25302 95.9386
185.211 1.61752 98.1564
186.895 0.236894 81.4705
188.578 2.42576 101.676
190.262 2.23657 100.971
191.946 1.35968 96.6481
193.63 1.02465 94.1909
195.313 2.70211 102.613
196.997 0.308639 83.7684
198.681 1.3592 96.6451
200.365 0.499675 87.9531
202.048 1.12869 95.0309
203.732 0.97545 93.7635
205.416 0.930754 93.3561
207.099 3.09061 103.78
208.783 2.19094 100.792
210.467 2.71201 102.645
212.151 1.69406 98.558
213.834 0.891991 92.9866
215.518 2.7614 102.802
217.202 0.201186 80.0514
218.886 2.9698 103.434
220.569 0.392439 85.8548
222.253 1.17431 95.375
223.937 1.29289 96.2106
225.621 2.04986 100.214
227.304 2.17384 100.724
228.988 2.22599 100.93
230.672 2.10132 100.429
232.356 1.40123 96.9096
234.039 2.39586 101.569
235.723 1.07314 94.5926
237.407 3.11985 103.862
239.09 3.50898 104.883
240.774 1.88535 99.4872
242.458 3.89534 105.79
244.142 1.97949 99.9105
245.825 2.54955 102.109
247.509 1.73891 98.7849
249.193 2.60221 102.286
250.877 2.26505 101.081
252.56 1.66525 98.409
254.244 3.14755 103.939
255.928 1.64534 98.3045
257.612 1.1911 95.4984
259.295 2.78836 102.886
260.979 0.986664 93.8628
262.663 1.58234 97.9654
264.346 1.81853 99.1738
266.03 3.35668 104.498
267.714 3.13389 103.901
269.398 1.03906 94.3122
271.081 1.57908 97.9475
272.765 2.44187 101.734
274.449 2.05783 100.248
276.133 2.07859 100.335
277.816 3.11419 103.846
279.5 2.36734 101.465
281.184 1.21521 95.6724
282.868 1.38378 96.8007
284.551 2.05209 100.223
286.235 3.44997 104.736
287.919 0.938574 93.4288
289.603 1.23425 95.8075
291.286 2.02364 100.102
292.97 1.043 94.345
294.654 0.69632 90.8356
296.337 2.39916 101.581
298.021 1.35899 96.6437
299.705 0.436601 86.7811
301.389 2.29749 101.204
303.072 1.17456 95.3769
304.756 0.341118 84.6375
306.44 0.459351 87.2223
308.124 0.696617 90.8393
309.807 1.27961 96.121
311.491 1.69268 98.5509
313.175 0.551671 88.813
314.859 0.982599 93.8269
316.542 1.56996 97.8972
318.226 2.02019 100.087
319.91 2.17857 100.743
321.593 1.09172 94.7416
323.277 0.751194 91.4944
324.961 1.92911 99.6866
326.645 1.96362 99.8405
328.328 1.35106 96.5929
330.012 0.961129 93.635
331.696 0.755332 91.5422
333.38 2.29899 101.21
335.063 2.64676 102.434
336.747 1.43205 97.0986
338.431 1.05927 94.4795
340.115 1.31367 96.3491
341.798 1.05313 94.429
343.482 1.58384 97.9736
345.166 1.17712 95.3958
346.85 2.77786 102.854
348.533 0.576494 89.1953
350.217 0.509921 88.1295
351.901 2.03854 100.166
353.584 1.51738 97.6013
355.268 1.64208 98.2873
356.952 1.70806 98.6295
358.636 1.25522 95.9538
360.319 0.531403 88.4879
362.003 2.29463 101.194
363.687 0.168605 78.5168
365.371 2.01794 100.078
367.054 2.43102 101.695
368.738 1.18512 95.4546
370.422 1.63944 98.2733
372.106 1.34987 96.5852
373.789 1.15455 95.2277
375.473 1.65355 98.3478
377.157 2.42209 101.663
378.84 0.750051 91.4812
380.524 2.09205 100.391
382.208 0.781316 91.8359
383.892 0.274917 82.7634
385.575 1.80144 99.0918
387.259 1.57724 97.9374
388.943 0.392366 85.8532
390.627 0.618243 89.8026
392.31 0.312355 83.8724
393.994 1.18081 95.423
395.678 0.564139 89.0071
397.362 1.89766 99.5438
399.045 0.203784 80.1628
400.729 1.38002 96.7771
402.413 1.35002 96.5862
404.097 0.481667 87.6343
405.78 0.747431 91.4508
407.464 1.37562 96.7494
409.148 0.920709 93.2618
410.831 1.69087 98.5416
412.515 1.48358 97.4056
414.199 0.952589 93.5575
415.883 2.58565 102.231
417.566 2.25642 101.048
419.25 1.11692 94.9398
420.934 1.69492 98.5624
422.618 0.685767 90.7029
424.301 0.806873 92.1155
425.985 1.05534 94.4472
427.669 1.04634 94.3728
429.353 2.74873 102.762
431.036 2.63307 102.389
432.72 0.697975 90.8562
434.404 2.22767 100.936
436.088 0.975917 93.7677
437.771 1.79393 99.0555
439.455 0.895814 93.0238
441.139 1.40237 96.9167
442.822 1.31462 96.3554
444.506 0.784426 91.8704
446.19 1.26683 96.0338
447.874 1.28606 96.1646
449.557 2.00903 100.039
451.241 1.49066 97.447
452.925 2.0991 100.42
454.609 1.44082 97.1516
456.292 1.35575 96.623
457.976 1.10925 94.88
459.66 1.0411 94.3292
461.344 1.10794 94.8697
463.027 1.81462 99.1551
464.711 1.21512 95.6717
466.395 0.407548 86.183
468.078 1.37158 96.7238
469.762 0.775103 91.7666
471.446 0.517871 88.2638
473.13 1.13273 95.0619
474.813 0.812999 92.1812
476.497 0.971657 93.7297
478.181 0.915732 93.2148
479.865 0.657562 90.3381
481.548 1.56164 97.851
483.232 1.48174 97.3949
484.916 1.09195 94.7435
486.6 0.58779 89.3638
488.283 1.08583 94.6946
489.967 0.813109 92.1824
491.651 0.765845 91.6622
493.335 1.22014 95.7076
495.018 1.65173 98.3382
496.702 1.00922 94.0591
498.386 0.979974 93.8037
500.069 0.473872 87.4926
501.753 0.770037 91.7096
503.437 0.85286 92.597
505.121 1.25164 95.929
506.804 0.75772 91.5696
508.488 1.69298 98.5525
510.172 0.684215 90.6833
511.856 1.30677 96.3034
513.539 0.680762 90.6393
515.223 0.570886 89.1104
516.907 0.290821 83.2519
518.591 0.596543 89.4922
520.274 1.45627 97.2442
521.958 0.762364 91.6226
523.642 1.42278 97.0422
525.325 1.17803 95.4025
527.009 1.45009 97.2073
528.693 1.28681 96.1697
530.377 0.899476 93.0592
532.06 0.251 81.9729
533.744 0.68817 90.7333
535.428 0.305779 83.6876
537.112 1.03535 94.2811
538.795 0.376218 85.4882
540.479 0.543626 88.6854
542.163 1.54796 97.7746
543.847 0.367099 85.2751
545.53 0.948932 93.5241
547.214 1.3924 96.8547
548.898 0.118596 75.4608
550.582 0.575579 89.1815
552.265 1.68524 98.5126
553.949 1.46397 97.29
555.633 0.656263 90.321
557.316 0.573332 89.1475
559 0.370741 85.3608
560.684 0.215868 80.6632
562.368 1.58496 97.9798
564.051 0.538095 88.5966
565.735 0.441935 86.8866
567.419 1.23506 95.8132
569.103 0.360999 85.1295
570.786 0.513906 88.1971
572.47 0.35952 85.0939
574.154 1.56488 97.869
575.838 0.757788 91.5704
577.521 1.76993 98.9385
579.205 1.26162 95.9979
580.889 1.47268 97.3415
582.572 0.331764 84.396
584.256 0.472116 87.4604
585.94 1.14108 95.1257
587.624 0.771842 91.73
589.307 0.237136 81.4793
590.991 0.40165 86.0564
592.675 1.19073 95.4957
594.359 0.843433 92.5004
596.042 0.842097 92.4866
597.726 1.59449 98.0318
599.41 0.637096 90.0635
601.094 0.402085 86.0658
602.777 0.717471 91.0955
604.461 0.321039 84.1106
606.145 1.38303 96.796
607.829 0.374652 85.452
609.512 1.10095 94.8148
611.196 0.406633 86.1634
