Freq p' spl
0 0.00221811604 40.8990853
10 0.00221359562 40.8813658
20 0.00220015314 40.8284583
30 0.00217828677 40.7417011
40 0.002149033 40.6242618
50 0.00211192672 40.472977
60 0.00207004222 40.2989842
70 0.00202271917 40.0981119
80 0.00197185862 39.8769156
90 0.00191573679 39.6261169
100 0.0742443175 71.3926645
110 0.00180794688 39.1231134
120 0.00175216646 38.8509074
130 0.00168939957 38.5340477
140 0.00163617557 38.2559982
150 0.00157727858 37.9375682
160 0.0015208156 37.6209313
170 0.00147093356 37.3312612
180 0.00141401793 36.9884984
190 0.00136005225 36.650512
200 0.00131505283 36.3582641
210 0.00126840168 36.0445363
220 0.00121468401 35.6686664
230 0.0011706924 35.3482561
240 0.00113882641 35.1085507
250 0.00108481061 34.6864786
260 0.001034907 34.2774266
270 0.00102180083 34.1667251
280 0.000964948825 33.6694857
290 0.000857033614 32.6393572
300 0.00096990809 33.7140117
310 0.000908625224 33.1470959
320 0.000899622234 33.0606037
330 0.000825403223 32.3127233
340 0.000789479786 31.9262204
350 0.000784159029 31.867483
360 0.000746668314 31.4419545
370 0.00070330261 30.9222447
380 0.000689237795 30.7467818
390 0.000673227734 30.5426401
400 0.00063462242 30.0297083
410 0.00060001257 29.5426071
420 0.000589422027 29.3879273
430 0.000571039945 29.1127299
440 0.000531009695 28.4814491
450 0.000506239907 28.0665276
460 0.00049863517 27.9350582
470 0.000471262538 27.4446585
480 0.000435044063 26.750065
490 0.000430504786 26.6589598
500 0.00044358052 26.9188494
510 0.000392888339 25.8647829
520 0.000348554189 24.8248062
530 0.000326897936 24.2676437
540 0.000316002588 23.9732129
550 0.000293641269 23.3357419
560 0.000267288848 22.5190169
570 0.000250083671 21.9411068
580 0.000236095116 21.4411401
590 0.000217446355 20.7264427
600 0.000198699465 19.943334
610 0.000185867156 19.3634532
620 0.000175282206 18.8541567
630 0.000163477116 18.2485394
640 0.00015217045 17.6260066
650 0.000142410725 17.050254
660 0.000133326879 16.4777544
670 0.00012439792 15.8756625
680 0.000114665907 15.1680863
690 0.000105629298 14.455088
700 0.000297284366 23.4428415
710 9.14471238e-05 13.2028011
