Freq p' spl
0 0.0122851974 55.7670429
10 0.0122731318 55.7585081
20 0.01223628 55.7323882
30 0.0121766937 55.6899877
40 0.0120940084 55.6308054
50 0.0119763151 55.5458644
60 0.011840356 55.4466953
70 0.0116653818 55.3173793
80 0.0114640289 55.1661456
90 0.011216091 54.9762306
100 0.390075303 85.8023692
110 0.0106932091 54.5615612
120 0.01036413 54.2900571
130 0.0100077595 53.9861373
140 0.00965694615 53.6761963
150 0.0092682192 53.319326
160 0.00887891394 52.946597
170 0.0084972728 52.5649913
180 0.00808573056 52.1337854
190 0.00768439988 51.6915992
200 0.00731109631 51.2590502
210 0.0069397482 50.8062743
220 0.00654912877 50.3030707
230 0.00620709487 49.8371677
240 0.00592875093 49.4386642
250 0.00557366349 48.902215
260 0.00524657772 48.3769223
270 0.00509308988 48.1190269
280 0.00474948662 47.5123334
290 0.00419266082 46.4291947
300 0.00473504938 47.4858903
310 0.00436019734 46.769523
320 0.00423514609 46.516768
330 0.00382100164 45.6229446
340 0.00362389024 45.1629008
350 0.00354205015 44.9644942
360 0.00328531995 44.3109535
370 0.00303268151 43.6159361
380 0.00291955416 43.2857308
390 0.00276306589 42.8072249
400 0.00252146957 42.0124747
410 0.00230095576 41.2175654
420 0.00218924346 40.7852813
430 0.00201145642 40.0496126
440 0.00176613155 38.9198611
450 0.00162054364 38.1726147
460 0.00151319383 37.5772913
470 0.00131660933 36.3685387
480 0.00113570797 35.0847335
490 0.0010686486 34.5560985
500 0.00048201314 27.6405776
510 0.000765293799 31.655964
520 0.000574452083 29.1644763
530 0.000461938756 27.2710881
540 0.000369576889 25.3334962
550 0.000249406794 21.9175657
560 0.000119150531 15.5013197
570 4.02359353e-05 6.0716821
580 0.000107661411 14.6206014
590 0.00022392085 20.9812908
600 0.00034498901 24.7355053
610 0.000419137713 26.4265349
620 0.000484627855 27.6875675
630 0.000563247395 28.9933839
640 0.00064049821 30.1097585
650 0.000704042607 30.9313789
660 0.000760821911 31.6050603
670 0.000815342221 32.2061987
680 0.000863462219 32.7042669
690 0.000896401041 33.0294471
700 0.00194347973 39.7510004
710 0.000958057088 33.6072279
720 0.000975327883 33.7624129
730 0.000976118747 33.7694532
740 0.000969462103 33.7100168
750 0.000961682039 33.6400302
760 0.000947348456 33.5095951
770 0.000921188688 33.266372
780 0.000890244337 32.9695845
790 0.000856637325 32.63534
800 0.000816254433 32.2159111
810 0.000766866454 31.6737949
820 0.000721302488 31.1417487
830 0.000679501307 30.623206
840 0.000636116019 30.0501267
850 0.000593077689 29.4416318
860 0.000553423638 28.8405542
870 0.000514307004 28.2038489
880 0.000476183572 27.5348883
890 0.000438895508 26.8266228
900 0.000786036176 31.8882508
910 0.000371414743 25.3765829
920 0.000339082991 24.5855202
930 0.000307149189 23.7263876
940 0.000276199364 22.8038536
950 0.000252289616 22.0173876
960 0.000230994778 21.2514433
970 0.000214783555 20.6194206
980 0.00021060575 20.4488046
990 0.00021449218 20.6076294
1000 0.000223710326 20.9731207
1010 0.000224510438 21.0041308
1020 0.000235713141 21.427076
1030 0.000246882246 21.8291973
1040 0.000260220076 22.2862161
1050 0.000275052716 22.7677188
1060 0.000285728028 23.098457
1070 0.000297952766 23.4623485
1080 0.00030948666 23.7922388
1090 0.000315639106 23.9632162
1100 0.000172419333 18.7111193
1110 0.000327735201 24.2898619
1120 0.000339529963 24.5969622
1130 0.000345119532 24.7387909
1140 0.000347605682 24.8011374
1150 0.000353115234 24.9377292
1160 0.000356091102 25.0106225
1170 0.000356510992 25.0208586
1180 0.000356549519 25.0217972
1190 0.000355730753 25.0018283
1200 0.000357678138 25.049248
1210 0.000355882443 25.0055313
1220 0.000355680495 25.0006011
1230 0.000352119022 24.9131898
1240 0.000346060344 24.7624368
1250 0.000340691303 24.626621
1260 0.000333237269 24.4344714
1270 0.000325023917 24.2177065
1280 0.000318978685 24.0546333
1290 0.000311346045 23.8442671
1300 0.000136326229 16.6709885
1310 0.000287644304 23.1565157
1320 0.000280019041 22.9231514
1330 0.000272604834 22.6900711
1340 0.000261970397 22.3444445
1350 0.000252932601 22.0394963
1360 0.000244609395 21.7488628
1370 0.000236869405 21.4695795
1380 0.00023005955 21.2162054
1390 0.000223375158 20.9600976
1400 0.000216735079 20.6979843
1410 0.000212925375 20.5439485
1420 0.000212948739 20.5449016
1430 0.000213156244 20.5533613
1440 0.00021327242 20.558094
1450 0.000213225234 20.5561721
1460 0.000213226876 20.556239
1470 0.000212758143 20.5371239
1480 0.000214245135 20.5976195
1490 0.000217713215 20.7370959
1500 0.000122601749 15.7493334
1510 0.000219272657 20.7990897
1520 0.000220136349 20.8332353
1530 0.000223688195 20.9722614
1540 0.000224973605 21.0220314
1550 0.000224786428 21.0148018
1560 0.000225164571 21.0294012
1570 0.00022416392 20.9907143
1580 0.000222227468 20.9153548
1590 0.000219961798 20.8263453
1600 0.000216948823 20.7065461
1610 0.000215583381 20.6517056
1620 0.000213711407 20.5759541
1630 0.000212396944 20.5223653
1640 0.000211364049 20.4800225
1650 0.000210663019 20.4511662
1660 0.000209978116 20.4228808
1670 0.00020836972 20.3560923
1680 0.000206406729 20.2738771
1690 0.000205941872 20.2542932
1700 0.000222797653 20.9376123
1710 0.000204991042 20.2140978
1720 0.000200991126 20.0429378
1730 0.000199383237 19.9731729
1740 0.000199488676 19.9777651
1750 0.000197348249 19.8840656
1760 0.000196046991 19.8266037
1770 0.000195786248 19.8150438
1780 0.000193927513 19.7321887
1790 0.000191867365 19.6394223
1800 0.000191785504 19.6357157
1810 0.000192234877 19.6560438
1820 0.000188838423 19.5012074
1830 0.00018626903 19.3822132
1840 0.000184034481 19.2773841
1850 0.000181435178 19.15383
1860 0.00017958217 19.0646644
1870 0.00017748167 18.9624702
1880 0.000175576192 18.8687126
1890 0.000175430438 18.861499
1900 0.000184360967 19.2927796
1910 0.000176203502 18.8996908
1920 0.000174149165 18.797828
1930 0.000173381634 18.7594619
1940 0.000173345619 18.7576575
1950 0.000172324131 18.706322
1960 0.000170899374 18.6342095
1970 0.000170017642 18.5892799
1980 0.000168525774 18.5127267
1990 0.000167238887 18.4461455
2000 0.000168208195 18.4963431
2010 0.00016887482 18.530698
2020 0.000167743483 18.4723132
2030 0.000168111723 18.4913601
2040 0.00016933442 18.554305
2050 0.000169330914 18.5541251
2060 0.000168844872 18.5291576
2070 0.000168833107 18.5285523
2080 0.000166341094 18.3993911
2090 0.000162648692 18.2044116
2100 0.000198946116 19.9541094
2110 0.000162572182 18.2003248
2120 0.000160382028 18.0825141
2130 0.000157316861 17.9149056
2140 0.000156822657 17.8875762
2150 0.000156679708 17.8796552
2160 0.000156020176 17.8430154
2170 0.000156249565 17.8557764
2180 0.000156597961 17.8751222
2190 0.000156779465 17.8851836
2200 0.000157089832 17.9023616
2210 0.000154861684 17.7782796
2220 0.000152721439 17.6574002
2230 0.000151068382 17.5628716
2240 0.000149487146 17.4714771
2250 0.000148317699 17.4032597
2260 0.000147894848 17.378461
2270 0.000147116935 17.3326535
2280 0.00014697788 17.3244397
2290 0.000147872737 17.3771623
2300 0.000145540339 17.2390677
2310 0.000145658973 17.246145
2320 0.00014548888 17.2359961
2330 0.000146004928 17.2667504
2340 0.000145345076 17.2274066
2350 0.000144668048 17.1868525
2360 0.000143948195 17.1435245
2370 0.000142845643 17.07674
2380 0.000141784234 17.0119589
2390 0.000140932567 16.9596274
2400 0.000140227862 16.9160863
2410 0.00014019748 16.9142042
2420 0.000139764916 16.8873634
2430 0.000139436482 16.8669284
2440 0.000139046619 16.8426088
2450 0.00013812702 16.7849729
2460 0.000137314381 16.7337206
2470 0.000136607247 16.6888749
2480 0.000134377954 16.5459606
2490 0.000131680622 16.3698375
2500 0.000164784142 18.3177084
2510 0.000131608555 16.3650825
2520 0.00013029838 16.2781804
2530 0.000128686826 16.1700818
2540 0.000129452371 16.2216003
2550 0.000130454765 16.288599
2560 0.000131164138 16.3357023
2570 0.000132254698 16.4076222
2580 0.000133378329 16.4811055
2590 0.000133766348 16.5063375
2600 0.000132560452 16.4276796
2610 0.000131313304 16.3455747
2620 0.000130251491 16.2750541
2630 0.000128749548 16.1743143
2640 0.000126838399 16.0444151
2650 0.000124957392 15.9146391
2660 0.000124413971 15.8767831
2670 0.000123558009 15.8168181
2680 0.000123003105 15.7777216
2690 0.00012438599 15.8748294
2700 0.000142361888 17.0472749
2710 0.000123264707 15.796175
2720 0.000122837692 15.766033
2730 0.000123185583 15.7905978
2740 0.00012228678 15.7269903
2750 0.000121580276 15.6766626
2760 0.000121231 15.6516739
2770 0.000120604466 15.6066679
2780 0.000120246232 15.5808296
2790 0.000120189426 15.5767253
2800 0.000119463883 15.5241327
2810 0.000120416938 15.5931517
2820 0.000121110726 15.6430523
2830 0.000121168891 15.6472228
2840 0.000121381872 15.6624767
2850 0.000120339344 15.5875529
2860 0.000118523155 15.4554642
2870 0.000117852716 15.406192
2880 0.000114972647 15.1912907
2890 0.00011064683 14.8581796
2900 0.000154747189 17.7718555
2910 0.000113040817 15.0441058
2920 0.000111789523 14.9474221
2930 0.000109981033 14.805756
2940 0.000111199629 14.9014669
2950 0.000112170537 14.9769761
2960 0.000112642354 15.0134344
2970 0.000113587287 15.0859946
2980 0.000114263141 15.1375233
2990 0.00011395909 15.1143795
3000 0.000112604611 15.0105236
3010 0.000111503453 14.9251664
3020 0.000111268144 14.906817
3030 0.000110687034 14.8613351
3040 0.000109948783 14.8032086
3050 0.000110108382 14.8158077
3060 0.000110546322 14.850286
3070 0.000110550022 14.8505768
3080 0.000112266706 14.9844197
3090 0.000113110845 15.049485
3100 9.54152311e-05 13.5717542
3110 0.000108240346 14.6671835
3120 0.00010929121 14.7511048
3130 0.000108563549 14.6930807
3140 0.000105919763 14.4789401
