Freq p' spl
0 0.0025248354 42.0240615
10 0.00252317485 42.018347
20 0.00251813467 42.0009791
30 0.00250980434 41.9721974
40 0.00249761654 41.9299153
50 0.00247862405 41.8636133
60 0.00245700417 41.787518
70 0.00242594253 41.6770103
80 0.00238964429 41.5460653
90 0.00234181654 41.3704575
100 0.0800447 72.0460517
110 0.00224350839 40.997954
120 0.00217358766 40.7229433
130 0.00210040645 40.4254669
140 0.00202682632 40.1157308
150 0.00194360429 39.7515571
160 0.00186070224 39.3729377
170 0.0017776028 38.9760946
180 0.00168773836 38.5255025
190 0.00160043613 38.064167
200 0.00151813769 37.6056233
210 0.00143590208 37.1218966
220 0.00135032074 36.5881388
230 0.00127515924 36.0906886
240 0.0012129404 35.6561893
250 0.00113607362 35.0875296
260 0.00106586101 34.5334116
270 0.00103117364 34.2460362
280 0.000959333835 33.6187953
290 0.000845480703 32.5214741
300 0.000953838613 33.5688981
310 0.000876293362 32.8323905
320 0.000851002043 32.5780121
330 0.000767882969 31.6853008
340 0.000728517394 31.2281986
350 0.000712315072 31.0328428
360 0.000660953465 30.3828178
370 0.000610472219 29.6927182
380 0.000587894661 29.3653904
390 0.000556124447 28.8828398
400 0.000507384136 28.0861378
410 0.000463426471 27.2990168
420 0.000440693501 26.862133
430 0.000404039089 26.1078678
440 0.000354227284 24.9650403
450 0.000325284915 24.2246786
460 0.000303246774 23.6153239
470 0.000262851225 22.3736002
480 0.000227263788 21.1100049
490 0.000214203093 20.5959148
500 0.000114310325 15.1411093
510 0.000150207297 17.5132207
520 0.00011322327 15.0581139
530 9.24605536e-05 13.2985299
540 7.33361466e-05 11.2857618
550 4.84926873e-05 7.69292512
560 2.26452964e-05 1.07896029
570 5.04313911e-06 -11.966581
580 1.98766965e-05 -0.0537157669
590 4.32839677e-05 6.70594137
600 6.77271358e-05 10.5946543
610 8.34866268e-05 12.4117384
620 9.7025425e-05 13.7171112
630 0.000112685543 15.0167641
640 0.000128001033 16.1236696
650 0.000140920365 16.9588753
660 0.000152529532 17.6464788
670 0.00016347453 18.2484021
680 0.000173257137 18.7532228
690 0.000180200195 19.0945052
700 0.000374092519 25.4389806
710 0.000192916618 19.6867929
720 0.000196784223 19.8592056
730 0.000197418051 19.8871373
740 0.000196488396 19.8461382
750 0.000195283869 19.7927275
760 0.000192826839 19.6827497
770 0.000188020487 19.4635036
780 0.000182205398 19.1906249
790 0.000175804907 18.8800199
800 0.000168155801 18.4936372
810 0.000158223334 17.9648107
820 0.000148753892 17.4287668
830 0.000139930835 16.8976686
840 0.000130771096 16.3096353
850 0.000121663856 15.6826316
860 0.000113166851 15.0537847
870 0.000104809218 14.3873897
880 9.67364085e-05 13.6911993
890 8.8947523e-05 12.9620773
900 0.000160425367 18.0848609
910 7.46768275e-05 11.4431173
920 6.81185594e-05 10.6447092
930 6.16946593e-05 9.78435149
940 5.53632333e-05 8.843829
950 5.04625872e-05 8.03879034
960 4.61495698e-05 7.26275322
970 4.27294799e-05 6.59395222
980 4.17227646e-05 6.38686164
990 4.25863197e-05 6.56480229
1000 4.49937862e-05 7.0424509
1010 4.58377838e-05 7.20387232
1020 4.84217956e-05 7.68021788
1030 5.08966891e-05 8.11319072
1040 5.36227691e-05 8.56638484
1050 5.66184192e-05 9.03855489
1060 5.88471192e-05 9.37390423
1070 6.12687051e-05 9.72417413
1080 6.33959887e-05 10.0206357
1090 6.44804048e-05 10.1679552
1100 3.26943403e-05 4.26885166
1110 6.66850991e-05 10.4599761
1120 6.85624238e-05 10.7011233
1130 6.94283162e-05 10.8101327
1140 6.97566642e-05 10.8511142
1150 7.06275684e-05 10.9588852
1160 7.10450519e-05 11.0100768
1170 7.10778468e-05 11.0140853
1180 7.09729245e-05 11.0012541
1190 7.05845621e-05 10.9535946
1200 7.06465183e-05 10.9612154
1210 7.05108992e-05 10.9445252
1220 7.08252994e-05 10.9831685
1230 7.05350662e-05 10.9475016
1240 6.9714236e-05 10.8458295
1250 6.8902932e-05 10.7441541
1260 6.77080882e-05 10.5922111
1270 6.63528955e-05 10.4165977
1280 6.52916865e-05 10.2765578
1290 6.38258598e-05 10.0793336
1300 1.57117293e-05 -2.09612017
1310 5.95900706e-05 9.48287809
1320 5.80415584e-05 9.25418137
1330 5.64726284e-05 9.01616012
1340 5.42706991e-05 8.6707084
1350 5.2338908e-05 8.35589323
1360 5.04478231e-05 8.0362487
1370 4.86668129e-05 7.72405821
1380 4.71787444e-05 7.45432765
1390 4.57121262e-05 7.18002853
1400 4.42066277e-05 6.8891478
1410 4.29620302e-05 6.64109601
1420 4.25702173e-05 6.56151744
1430 4.23130116e-05 6.50887883
1440 4.22401396e-05 6.49390698
1450 4.22482183e-05 6.49556805
1460 4.22583264e-05 6.49764595
1470 4.22408846e-05 6.49406018
1480 4.26369444e-05 6.57512156
1490 4.34240991e-05 6.73401644
1500 3.34637778e-05 4.47089945
