Freq p' spl
0 0.00502225462 47.9973746
10 0.00501850353 47.9908848
20 0.0050070476 47.9710345
30 0.00498824756 47.9383601
40 0.00496124462 47.8912129
50 0.00492045111 47.8194985
60 0.0048738164 47.7367834
70 0.00480907504 47.6206312
80 0.00473380377 47.4836051
90 0.00463655789 47.3033138
100 0.159140721 78.0150265
110 0.00443539484 46.9180458
120 0.00429693282 46.6425714
130 0.00415087726 46.3421979
140 0.00400483226 46.0310867
150 0.0038405796 45.6673355
160 0.00367681595 45.2888379
170 0.00351357303 44.8943798
180 0.00333725946 44.4471996
190 0.00316591629 43.9893886
200 0.00300503659 43.5363954
210 0.00284446047 43.0593981
220 0.00267703558 42.532483
230 0.00253018082 42.0424313
240 0.00240906419 41.6163675
250 0.00225827355 41.054931
260 0.002120416 40.5078216
270 0.00205315893 40.2278514
280 0.0019108865 39.6040979
290 0.00168448422 38.508739
300 0.00189103704 39.5134008
310 0.00174862164 38.8333171
320 0.00169796524 38.577976
330 0.00153182295 37.6835715
340 0.00145345604 37.2274381
350 0.00142112722 37.0320592
360 0.00131856422 36.3814258
370 0.0012180631 35.6927958
380 0.00117312203 35.3662639
390 0.00111001682 34.8859913
400 0.00101317119 34.0930567
410 0.000925386223 33.3058607
420 0.00088031639 32.8721758
430 0.000808157716 32.1293226
440 0.000709642513 31.0001926
450 0.000652003501 30.2643986
460 0.000608591186 29.6659132
470 0.000529202703 28.4518412
480 0.000458238231 27.2012265
490 0.000431873524 26.6865317
500 0.00021070758 20.4530033
510 0.000307757867 23.7435834
520 0.000234047482 21.3654796
530 0.000191099535 19.6045927
540 0.000153579371 17.7060578
550 0.000105386394 14.435091
560 5.39567069e-05 8.62030881
570 1.77121923e-05 -1.05515356
580 3.66591696e-05 5.26305255
590 8.21687966e-05 12.2735386
600 0.000130511657 16.2923862
610 0.000161466991 18.1410751
620 0.000188662322 19.4931036
630 0.000220412243 20.8441144
640 0.000251650442 21.9953541
650 0.00027797514 22.8595192
660 0.000301519106 23.5656968
670 0.000323856135 24.1864427
680 0.000343970722 24.7098296
690 0.000358289797 25.0640889
700 0.00076669592 31.6718631
710 0.000384561952 25.6787264
720 0.000392722644 25.8611189
730 0.000394338586 25.8967856
740 0.000392730424 25.861291
750 0.000390635254 25.8148288
760 0.000386001628 25.7111828
770 0.000376540854 25.4956421
780 0.00036503352 25.226055
790 0.000352334019 24.9184916
800 0.000336865038 24.5285189
810 0.00031715378 24.0047979
820 0.000298553585 23.4798459
830 0.000281248975 22.961219
840 0.00026322159 22.3858303
850 0.000245241107 21.7712655
860 0.000228470352 21.1559971
870 0.00021190988 20.5024242
880 0.000195852663 19.8179897
890 0.000180185906 19.0938164
900 0.000316927259 23.998592
910 0.000151307603 17.5766151
920 0.000137734776 16.7602722
930 0.000124391128 15.8751882
940 0.000111018405 14.8872998
950 0.000100403341 14.0143633
960 9.09410297e-05 13.1545974
970 8.31693983e-05 12.3786713
980 8.02746663e-05 12.0709703
990 8.13055763e-05 12.1818067
1000 8.55645955e-05 12.6252821
1010 8.67575228e-05 12.745543
1020 9.18154201e-05 13.2377126
1030 9.68663173e-05 13.7028559
1040 0.000102598708 14.202238
1050 0.000108838943 14.7150864
1060 0.000113491429 15.0786613
1070 0.000118704973 15.4687784
1080 0.000123391314 15.8050919
1090 0.000125886843 15.979007
1100 6.20164894e-05 9.82954365
1110 0.000131035746 16.3271958
1120 0.000135516894 16.6192688
1130 0.000137751088 16.7613008
1140 0.000138848339 16.8302138
1150 0.000141107088 16.9703767
1160 0.000142396795 17.0494044
1170 0.000142748501 17.0708312
1180 0.000142799811 17.0739528
1190 0.000142283697 17.0425029
1200 0.000142666756 17.0658558
1210 0.000142511653 17.0564076
1220 0.000143101722 17.0922973
1230 0.000142408442 17.0501148
1240 0.000140617638 16.9401961
1250 0.000138782584 16.8260995
1260 0.000136103701 16.6567988
1270 0.000133084136 16.4619259
1280 0.00013068051 16.3036165
1290 0.000127498584 16.0895073
1300 3.4945773e-05 4.8472931
1310 0.000118089418 15.4236197
1320 0.000114543533 15.1588116
1330 0.000111151974 14.8977437
1340 0.000106393311 14.5176866
1350 0.000102135029 14.1628944
1360 9.81451739e-05 13.8167791
1370 9.43548314e-05 13.4746829
1380 9.10658687e-05 13.1665128
1390 8.79473591e-05 12.8638561
1400 8.49040915e-05 12.5579725
1410 8.25080409e-05 12.3093256
1420 8.17814704e-05 12.2324984
1430 8.15150293e-05 12.2041539
1440 8.1693084e-05 12.2231059
1450 8.20784725e-05 12.2639854
1460 8.24747196e-05 12.305817
1470 8.28700698e-05 12.3473542
1480 8.42438651e-05 12.4901658
1490 8.61695317e-05 12.6864747
1500 6.87693149e-05 10.727294
1510 8.77685121e-05 12.8461748
1520 8.89334812e-05 12.9607059
1530 9.08527001e-05 13.1461569
1540 9.17046536e-05 13.2272276
1550 9.18926756e-05 13.245018
1560 9.22792696e-05 13.2814831
1570 9.1881455e-05 13.2439574
1580 9.09553518e-05 13.1559652
1590 8.99879158e-05 13.0630839
1600 8.87368044e-05 12.9414758
1610 8.81160596e-05 12.8805014
1620 8.71625844e-05 12.7860021
1630 8.63250473e-05 12.7021366
1640 8.54773785e-05 12.616424
1650 8.47871838e-05 12.5460043
1660 8.41370113e-05 12.4791417
1670 8.32261489e-05 12.3845961
1680 8.21509494e-05 12.2716518
1690 8.15261747e-05 12.2053414
1700 8.93398965e-05 13.000309
1710 8.06461806e-05 12.1110762
1720 7.90108308e-05 11.9331327
1730 7.81283995e-05 11.8355786
1740 7.8070284e-05 11.8291153
1750 7.72566635e-05 11.7381191
1760 7.67095589e-05 11.6763898
1770 7.67388739e-05 11.6797085
1780 7.61737207e-05 11.6155035
1790 7.54276006e-05 11.5300059
1800 7.55264948e-05 11.5413867
1810 7.61580955e-05 11.6137216
1820 7.52109271e-05 11.5050189
1830 7.45359196e-05 11.4267124
1840 7.39848152e-05 11.362252
1850 7.31391037e-05 11.2623928
1860 7.25389055e-05 11.1908201
1870 7.1796753e-05 11.1014962
1880 7.10439763e-05 11.0099453
1890 7.10118793e-05 11.0060202
1900 7.37535373e-05 11.3350572
1910 7.13716325e-05 11.0499127
1920 7.04894713e-05 10.9418851
1930 7.01966151e-05 10.9057235
1940 7.00790373e-05 10.8911626
1950 6.95643335e-05 10.8271327
1960 6.88894533e-05 10.7424549
1970 6.83467134e-05 10.6737528
1980 6.74942972e-05 10.5647417
1990 6.66285009e-05 10.4526009
2000 6.669514e-05 10.4612839
2010 6.67544991e-05 10.4690109
2020 6.60455172e-05 10.376267
2030 6.60291282e-05 10.3741113
2040 6.66349483e-05 10.4534414
2050 6.6904142e-05 10.4884602
2060 6.68392743e-05 10.4800346
2070 6.71646378e-05 10.5222136
2080 6.65895324e-05 10.4475194
2090 6.48890505e-05 10.2228285
2100 8.44551778e-05 12.5119257
2110 6.46580295e-05 10.1918494
2120 6.41451497e-05 10.1226766
2130 6.26852018e-05 9.92270065
2140 6.2129316e-05 9.84533153
2150 6.19984392e-05 9.82701521
2160 6.16086203e-05 9.77222974
2170 6.16176544e-05 9.77350333
2180 6.18244873e-05 9.80261056
2190 6.2075732e-05 9.83783707
2200 6.25182482e-05 9.8995361
2210 6.1947599e-05 9.81988965
2220 6.12110578e-05 9.71599778
2230 6.06089885e-05 9.63014081
2240 6.00069407e-05 9.54342981
2250 5.94083148e-05 9.45634475
2260 5.91120849e-05 9.41292564
2270 5.87612256e-05 9.36121699
2280 5.85221969e-05 9.32581251
2290 5.87773829e-05 9.36360499
2300 5.9100049e-05 9.41115691
2310 5.81303135e-05 9.26745338
2320 5.80331197e-05 9.25291844
2330 5.83091213e-05 9.29413002
2340 5.81263871e-05 9.26686668
2350 5.78816325e-05 9.23021551
2360 5.75806893e-05 9.18493728
2370 5.70770364e-05 9.10862838
2380 5.65586331e-05 9.02937818
2390 5.6039847e-05 8.94933891
2400 5.56458742e-05 8.88805947
2410 5.56133387e-05 8.88297945
2420 5.54797042e-05 8.86208282
2430 5.53419457e-05 8.84048856
2440 5.52950623e-05 8.83312712
2450 5.51790647e-05 8.81488678
2460 5.4944422e-05 8.77787227
2470 5.4810944e-05 8.75674572
2480 5.42881788e-05 8.67350555
2490 5.31370489e-05 8.4873487
2500 6.50630383e-05 10.2460869
2510 5.24392917e-05 8.37253642
2520 5.21820088e-05 8.32981597
2530 5.14221841e-05 8.20241046
2540 5.13891811e-05 8.19683402
2550 5.1715918e-05 8.25188485
2560 5.19356169e-05 8.28870597
2570 5.22770478e-05 8.34562117
2580 5.27272466e-05 8.42010195
2590 5.29830928e-05 8.46214621
2600 5.25593765e-05 8.39240419
2610 5.22520563e-05 8.3414678
2620 5.19884055e-05 8.29753003
2630 5.15012669e-05 8.21575834
2640 5.0769951e-05 8.09153497
2650 4.993685e-05 7.94782296
2660 4.96426495e-05 7.89649914
2670 4.92173354e-05 7.82176203
2680 4.88365627e-05 7.75430186
2690 4.94302813e-05 7.85926173
2700 5.73940505e-05 9.1567376
2710 4.90167312e-05 7.78628701
2720 4.87557025e-05 7.73990845
2730 4.90033833e-05 7.7839214
2740 4.87548365e-05 7.73975418
2750 4.84877663e-05 7.69204365
2760 4.83604794e-05 7.66921203
2770 4.81369364e-05 7.62896902
2780 4.79960701e-05 7.60351367
2790 4.78537758e-05 7.57772429
2800 4.74094065e-05 7.49669046
2810 4.78240155e-05 7.57232085
2820 4.81521057e-05 7.63170577
2830 4.82083741e-05 7.64184978
2840 4.84750598e-05 7.68976715
2850 4.83030968e-05 7.65889958
2860 4.76406292e-05 7.53894986
2870 4.74751034e-05 7.50871847
2880 4.65519925e-05 7.33816558
2890 4.46706309e-05 6.97984181
2900 5.88704097e-05 9.37734126
2910 4.51928454e-05 7.0807938
2920 4.47470068e-05 6.99467988
2930 4.38364879e-05 6.81611513
2940 4.40861297e-05 6.86543957
2950 4.43752163e-05 6.92220974
2960 4.45061664e-05 6.94780383
2970 4.48603586e-05 7.0166549
2980 4.51810501e-05 7.07852651
2990 4.51569544e-05 7.07389295
3000 4.46309338e-05 6.97211956
3010 4.42499981e-05 6.89766521
3020 4.41856251e-05 6.88502015
3030 4.39676874e-05 6.84207256
3040 4.36592151e-05 6.78091857
3050 4.37405991e-05 6.79709463
3060 4.39478702e-05 6.83815675
3070 4.39308044e-05 6.83478319
3080 4.47485787e-05 6.99498499
3090 4.54111969e-05 7.12265907
3100 3.56227963e-05 5.01396025
3110 4.32786328e-05 6.70487074
3120 4.37315499e-05 6.79529748
3130 4.36909642e-05 6.78723268
3140 4.25464829e-05 6.55667338
3150 4.20989607e-05 6.46482758
3160 4.17386092e-05 6.39015955
3170 4.11069098e-05 6.25769668
3180 4.10276922e-05 6.24094186
3190 4.12339411e-05 6.28449701
3200 4.10640396e-05 6.24863349
3210 4.10849575e-05 6.25305694
3220 4.15563057e-05 6.35213874
3230 4.17475408e-05 6.39201805
3240 4.19088072e-05 6.4255061
3250 4.16074549e-05 6.36282312
3260 4.09859505e-05 6.23210032
3270 4.07216614e-05 6.17590986
3280 3.98128839e-05 5.97987283
3290 3.92169966e-05 5.84888671
3300 4.30535953e-05 6.65958857
3310 4.06117755e-05 6.15243962
3320 3.99108849e-05 6.00122723
3330 3.99171977e-05 6.00260099
3340 4.0374777e-05 6.10160283
3350 4.02284505e-05 6.07006618
