# Region type : patch sphere
#      Faces  : 264
#      Area   : 1.243039747e-01
#           Time	areaAverage(p)	areaAverage(U)
         2.5e-06	1.013250000e+05	(1.979713303e-22 -5.872594923e-22 1.084683255e-21)
           5e-06	1.013250006e+05	(9.948475252e-22 2.734998882e-21 2.675108396e-21)
         7.5e-06	1.013250017e+05	(-8.484485583e-22 -3.011160570e-21 -8.118488166e-22)
           1e-05	1.013250033e+05	(1.395781060e-21 -8.318123121e-21 4.711384936e-21)
        1.25e-05	1.013250055e+05	(-1.335890573e-21 1.849950582e-21 2.448855447e-21)
         1.5e-05	1.013250082e+05	(-2.319092726e-21 7.253403361e-22 1.117955747e-21)
        1.75e-05	1.013250113e+05	(-3.297304005e-21 -1.887215774e-20 -8.012016190e-21)
           2e-05	1.013250150e+05	(-1.863259579e-22 -1.755456703e-20 -1.059396161e-20)
        2.25e-05	1.013250192e+05	(1.004829273e-21 -5.576469740e-21 1.432048076e-20)
         2.5e-05	1.013250238e+05	(-2.056240035e-21 8.650848045e-22 1.123279346e-20)
        2.75e-05	1.013250289e+05	(3.360521741e-21 4.258879038e-21 7.453038316e-22)
           3e-05	1.013250344e+05	(-2.528709429e-22 2.229256996e-20 -1.197809729e-20)
        3.25e-05	1.013250404e+05	(-2.908015843e-21 -3.180850281e-21 -1.224427723e-20)
         3.5e-05	1.013250468e+05	(-5.689596215e-21 9.609095829e-21 -2.794889369e-20)
        3.75e-05	1.013250536e+05	(-1.131264744e-22 6.015666641e-21 -2.587269015e-20)
           4e-05	1.013250608e+05	(4.125789068e-22 -9.263061907e-21 -1.256369316e-20)
        4.25e-05	1.013250685e+05	(3.546847699e-21 7.719218256e-21 -1.181838933e-20)
         4.5e-05	1.013250765e+05	(1.271009213e-20 -1.863259579e-22 8.411286100e-21)
        4.75e-05	1.013250849e+05	(-2.961251831e-21 -2.768271375e-20 -7.985398196e-21)
           5e-05	1.013250937e+05	(-7.166894881e-21 3.460339218e-22 4.045935086e-21)
        5.25e-05	1.013251028e+05	(4.198988551e-21 2.185337306e-20 -4.525058978e-20)
         5.5e-05	1.013251123e+05	(6.255228587e-22 2.896037746e-20 -1.767434801e-20)
        5.75e-05	1.013251221e+05	(-1.996349549e-21 -4.791238917e-21 2.587269015e-20)
           6e-05	1.013251323e+05	(-2.994524323e-21 -1.623697633e-20 1.352194094e-20)
        6.25e-05	1.013251428e+05	(9.529241847e-21 -3.971404703e-20 7.570157490e-20)
         6.5e-05	1.013251536e+05	(6.481481536e-21 5.855958677e-21 5.493953959e-20)
        6.75e-05	1.013251648e+05	(1.477298666e-20 4.360027415e-20 5.217126821e-21)
           7e-05	1.013251762e+05	(9.768803793e-21 -2.581945417e-20 2.235911495e-21)
        7.25e-05	1.013251880e+05	(1.396113785e-20 4.769944522e-20 4.471822990e-21)
         7.5e-05	1.013252000e+05	(3.992699098e-21 4.391969008e-20 -4.940299684e-20)
        7.75e-05	1.013252123e+05	(-2.042931038e-20 2.182675507e-21 -1.122214626e-19)
           8e-05	1.013252249e+05	(2.914670341e-21 1.469313268e-20 2.832154560e-20)
        8.25e-05	1.013252377e+05	(1.135257444e-20 -3.460339218e-20 6.026313838e-20)
         8.5e-05	1.013252508e+05	(8.744011024e-21 -2.550003824e-20 1.554490849e-20)
        8.75e-05	1.013252642e+05	(-1.409422782e-20 7.346566340e-21 -3.066392907e-20)
           9e-05	1.013252778e+05	(-1.799376393e-20 -6.707734484e-21 -1.213780526e-20)
        9.25e-05	1.013252916e+05	(1.282987310e-20 2.874743350e-20 -5.792075491e-20)
         9.5e-05	1.013253057e+05	(1.889877573e-20 7.453038316e-22 -5.110654845e-21)
        9.75e-05	1.013253200e+05	(2.395619459e-22 9.316297895e-21 1.511902058e-20)
          0.0001	1.013253345e+05	(-2.140086716e-20 -2.432884650e-20 2.725682584e-20)
       0.0001025	1.013253493e+05	(-1.099323152e-20 7.096357197e-20 -7.325271945e-20)
        0.000105	1.013253642e+05	(-9.036808958e-21 4.711384936e-20 -5.195832426e-20)
       0.0001075	1.013253794e+05	(1.243060319e-20 -4.791238917e-20 -9.795421787e-21)
         0.00011	1.013253947e+05	(1.067381559e-20 3.694577565e-20 4.258879038e-21)
       0.0001125	1.013254102e+05	(1.599741439e-20 -3.992699098e-21 4.386645409e-20)
        0.000115	1.013254260e+05	(-7.799072238e-21 -2.108145124e-20 -6.026313838e-20)
       0.0001175	1.013254418e+05	(8.917027985e-21 2.049585537e-20 5.749486701e-21)
