Freq p' spl
0 0.0237466916 61.4914623
10 0.0237137069 61.4793891
20 0.0236120846 61.4420867
30 0.0234496412 61.3821241
40 0.0232312413 61.3008484
50 0.0229406116 61.1914999
60 0.0225988853 61.0611404
70 0.0221990294 60.9060798
80 0.021744418 60.7263558
90 0.0212242041 60.5160284
100 0.755206062 91.5407094
110 0.0200873617 60.0378581
120 0.0194744799 59.7687175
130 0.0187802711 59.4534372
140 0.0181137953 59.1395892
150 0.0173986352 58.7897038
160 0.0166766496 58.4215762
170 0.0159914441 58.0571538
180 0.0152577047 57.6491842
190 0.0145382939 57.229669
200 0.0138827793 56.8289285
210 0.0132361207 56.4146145
220 0.0125461077 55.9495803
230 0.0119448338 55.5230023
240 0.0114686054 55.1696123
250 0.0108319681 54.6735475
260 0.0102391479 54.1846764
270 0.00998401737 53.9655066
280 0.00933830446 53.3847607
290 0.0082588826 52.3178259
300 0.00931395851 53.3620861
310 0.00864426697 52.7139635
320 0.00840270318 52.4677805
330 0.00758185 51.5749038
340 0.00719356715 51.1182861
350 0.00703368851 50.9230627
360 0.00652451191 50.2703607
370 0.00602314647 49.5758686
380 0.00579999512 49.2479526
390 0.00549578948 48.7800019
400 0.00501873551 47.9912863
410 0.00457750098 47.191969
420 0.00436113158 46.7713839
430 0.00402241956 46.0691474
440 0.00354248537 44.9655614
450 0.00324957923 44.2159427
460 0.00304455583 43.6498789
470 0.00266800968 42.5031481
480 0.00229936944 41.2115752
490 0.00216191976 40.6761915
500 0.000731336456 31.2617445
510 0.00160645397 38.0967658
520 0.0012121791 35.6507359
530 0.000963604704 33.6573783
540 0.000788685011 31.9174718
550 0.000562535768 28.9824029
560 0.000300906231 23.5480237
570 0.0001353092 16.6059466
580 0.00021890138 20.7843701
590 0.000441389114 26.8758325
600 0.000676644889 30.5866162
610 0.000813534908 32.1869239
620 0.000942671678 33.4666093
630 0.00110474461 34.8446379
640 0.00126438184 36.0169651
650 0.00139177905 36.850806
660 0.00150497157 37.529966
670 0.00161635799 38.1501512
680 0.00171353534 38.6572614
690 0.00177762547 38.9762053
700 0.00414636024 46.3327407
710 0.00190070072 39.5576749
720 0.00193315305 39.7047249
730 0.00193171277 39.6982511
740 0.00191572626 39.6260691
750 0.00189860947 39.548113
760 0.00186777857 39.4059078
770 0.00181258219 39.1453543
780 0.00174864764 38.8334462
790 0.0016800501 38.4858448
800 0.00159642144 38.0423511
810 0.00150216148 37.5137325
820 0.00141811463 37.0136268
830 0.00134173438 36.532731
840 0.00126119254 35.995028
850 0.00118102672 35.4245946
860 0.00110761012 34.8671384
870 0.00103368795 34.2671891
880 0.000960205346 33.6266825
890 0.000886538509 32.9333522
900 0.00149272667 37.4590059
910 0.00075204981 31.5043322
920 0.000682857483 30.6660015
930 0.000614816774 29.7543142
940 0.000548460853 28.7623128
950 0.000495532345 27.8808402
960 0.000447703012 26.9992004
970 0.000411214003 26.260758
980 0.0003991957 26.0031172
990 0.000402424297 26.073084
1000 0.000413958791 26.3185423
1010 0.000412571944 26.2893939
1020 0.000437021037 26.7894469
1030 0.000463217357 27.2950966
1040 0.000495286706 27.8765335
1050 0.000528872166 28.4464143
1060 0.000553594104 28.8432292
1070 0.000583240615 29.2963553
1080 0.00061141991 29.7061916
1090 0.000626829089 29.9223829
1100 0.000245572395 21.782991
1110 0.000660507196 30.3769512
1120 0.000689948565 30.7557344
1130 0.000703377013 30.9231635
1140 0.000710230684 31.0073887
1150 0.000723486888 31.1680134
1160 0.000730063439 31.2466121
1170 0.000729899579 31.2446623
1180 0.00072965547 31.2417569
1190 0.000727978407 31.22177
1200 0.000729125145 31.2354416
1210 0.000719311692 31.1177425
1220 0.000712152225 31.0308568
1230 0.000698650387 30.8645982
1240 0.000681283932 30.645963
1250 0.000666298322 30.4527745
1260 0.000646946078 30.1967618
1270 0.000627050638 29.9254524
1280 0.000613474667 29.7353328
1290 0.000596315342 29.4889198
1300 0.000366244718 25.2548275
1310 0.000542726663 28.6710233
1320 0.000529211734 28.4519894
1330 0.000515543296 28.224703
1340 0.000494932361 27.8703171
1350 0.000479066571 27.5873174
1360 0.000465933689 27.3458823
1370 0.000452958964 27.1005773
1380 0.00044173502 26.8826367
1390 0.000432385134 26.6968152
1400 0.000424102791 26.5288227
1410 0.000422280662 26.491424
1420 0.000426560409 26.579011
1430 0.000430004439 26.6488589
1440 0.000431020085 26.6693502
1450 0.000431039574 26.669743
1460 0.000430996347 26.6688719
1470 0.000429901492 26.6467791
1480 0.000432184124 26.6927763
1490 0.000437352617 26.7960347
1500 0.00023105506 21.2537098
1510 0.00043682743 26.7855981
1520 0.000437500393 26.798969
1530 0.000442386897 26.8954452
1540 0.00044278776 26.9033122
1550 0.000441110608 26.8703501
1560 0.000439848645 26.8454652
1570 0.00043629704 26.7750454
1580 0.000430849101 26.6659039
1590 0.000424189075 26.5305897
1600 0.000416780387 26.3775456
1610 0.000415816338 26.3574311
1620 0.000413652707 26.3121175
1630 0.000412955429 26.2974637
1640 0.000412841535 26.2950678
1650 0.000411738105 26.2718213
1660 0.000410327604 26.2420148
1670 0.000407677923 26.185744
1680 0.00040384974 26.1037962
1690 0.000402230885 26.0689084
1700 0.00039504501 25.9123317
1710 0.000400467108 26.0307371
1720 0.000392956396 25.8662873
1730 0.00039073201 25.8169799
1740 0.000390426184 25.8101788
1750 0.000386568498 25.7239293
1760 0.000385049306 25.689727
1770 0.000384268394 25.6720934
1780 0.000380356431 25.5832154
1790 0.000377096204 25.5084433
1800 0.000377268503 25.5124111
1810 0.000376421063 25.4928784
1820 0.0003682803 25.3029698
1830 0.000363097191 25.1798579
1840 0.000359379947 25.0904769
1850 0.000355513047 24.996511
1860 0.000352646308 24.9261869
1870 0.000350438405 24.871634
1880 0.000348789183 24.8306602
1890 0.000347721047 24.8040197
1900 0.000360758076 25.1237213
1910 0.000348242413 24.8170333
1920 0.000345490452 24.7481211
1930 0.000343040744 24.6863142
1940 0.000341670578 24.6515517
1950 0.000339141492 24.5870186
1960 0.000335802449 24.5010773
1970 0.000333610669 24.4441987
1980 0.000330938451 24.3743447
1990 0.00032973441 24.3426855
2000 0.000332956622 24.4271532
2010 0.000334363913 24.4637881
2020 0.000332123235 24.4053853
2030 0.000332248488 24.4086604
2040 0.000332886566 24.4253255
2050 0.000331331959 24.3846666
2060 0.000329442029 24.3349802
2070 0.000327759679 24.2905106
2080 0.000322754256 24.1568396
2090 0.000318039303 24.0290159
2100 0.000361644334 25.1450334
2110 0.000316048297 23.9744692
2120 0.000312736163 23.8829622
2130 0.000310194141 23.8120719
2140 0.000310480567 23.8200885
2150 0.000310414883 23.8182508
2160 0.000309741972 23.7994013
2170 0.000309613561 23.7957996
2180 0.00030874784 23.7714786
2190 0.000307305279 23.7308005
2200 0.00030681567 23.7169508
2210 0.000301688781 23.5705833
2220 0.000297814312 23.4583114
2230 0.00029504686 23.37722
2240 0.000292560884 23.3037253
2250 0.000291739126 23.2792936
2260 0.000291763831 23.2800291
2270 0.000290765753 23.2502651
2280 0.000292334865 23.2970124
2290 0.000294868505 23.3719678
2300 0.000263707308 22.4018434
2310 0.000287821094 23.1618525
2320 0.00028791777 23.1647695
2330 0.000289572775 23.2145546
2340 0.000288176043 23.1725575
2350 0.000286763308 23.1298717
2360 0.000285626086 23.0953575
2370 0.000283576151 23.0327942
2380 0.000281177342 22.9590065
2390 0.000279142415 22.8959167
2400 0.000276922218 22.8265561
2410 0.000274714343 22.7570268
2420 0.000272569987 22.6889608
2430 0.000270902901 22.6356732
2440 0.000268415884 22.5555643
2450 0.000265925782 22.474609
2460 0.000265081061 22.4469741
2470 0.000262957943 22.377126
2480 0.000259960587 22.2775503
2490 0.000259762631 22.2709336
2500 0.000303526359 23.6233283
2510 0.000258174516 22.2176675
2520 0.000255653344 22.1324296
2530 0.000255721566 22.1347472
2540 0.000257718653 22.2023171
2550 0.000259026249 22.2462756
2560 0.000260474765 22.2947132
2570 0.000262007709 22.3456815
2580 0.000263113744 22.3822708
2590 0.000262588276 22.3649067
2600 0.000260235969 22.2867466
2610 0.00025724126 22.1862127
2620 0.000255055197 22.1120836
2630 0.000252063937 22.0096144
2640 0.000248798521 21.896356
2650 0.000245691196 21.787192
2660 0.000244639481 21.749931
2670 0.000243288635 21.7018365
2680 0.000242442763 21.6715846
2690 0.000244848055 21.7573332
2700 0.000264569113 22.4301829
2710 0.00024340673 21.7060517
2720 0.000242060796 21.6578892
2730 0.000242852573 21.6862543
2740 0.000241578052 21.6405496
2750 0.000240094731 21.5870527
2760 0.000239541467 21.5670142
2770 0.000238369296 21.5244064
2780 0.000237289713 21.4849783
2790 0.00023692656 21.4716751
2800 0.000235598998 21.4228689
2810 0.000235719253 21.4273012
2820 0.000236082952 21.4406926
2830 0.00023555888 21.4213897
2840 0.000234844537 21.3950093
2850 0.000233097159 21.3301397
2860 0.000230712574 21.2408254
2870 0.000229276081 21.1865751
2880 0.000225753507 21.0520902
2890 0.000221076643 20.8702573
2900 0.000285629292 23.095455
2910 0.000222700211 20.9338127
2920 0.000221215638 20.8757166
2930 0.000219609038 20.8124043
2940 0.000221249227 20.8770353
2950 0.000222431051 20.9233084
2960 0.000222820936 20.93852
2970 0.00022349556 20.9647781
2980 0.000223785731 20.9760479
2990 0.000222343884 20.9199039
3000 0.000219618455 20.8127767
3010 0.000217358156 20.7229189
3020 0.000217312081 20.7210775
3030 0.000216445644 20.6863771
3040 0.000215334313 20.6416649
3050 0.000216093002 20.6722141
3060 0.000216863827 20.7031425
3070 0.000216762461 20.6990816
3080 0.000219946191 20.825729
3090 0.000221415885 20.8835756
3100 0.000196197861 19.8332855
3110 0.000212059396 20.5085505
3120 0.000213773702 20.5784857
3130 0.000212620884 20.5315185
3140 0.000208159208 20.3473126
3150 0.000207123578 20.3039909
3160 0.00020583658 20.2498512
3170 0.000203746515 20.1612039
3180 0.000204109946 20.1766835
3190 0.00020501351 20.2150497
3200 0.000204538317 20.1948937
3210 0.000203041342 20.1310896
3220 0.000204696223 20.2015967
3230 0.000204738893 20.2034071
3240 0.000203707052 20.1595214
3250 0.000201112609 20.0481861
3260 0.000199091835 19.9604691
3270 0.000197580784 19.8942942
3280 0.00019409852 19.7398445
3290 0.000196232645 19.8348253
3300 0.00019104125 19.6019431
3310 0.000202816584 20.1214694
3320 0.000198600549 19.939009
3330 0.000200858258 20.0371939
3340 0.00020306379 20.1320498
3350 0.000201123804 20.0486696
3360 0.000200703668 20.0305063
3370 0.000199346755 19.9715835
3380 0.000196473082 19.8454613
3390 0.000194189062 19.7438954
3400 0.000191621239 19.628273
3410 0.000189097201 19.5131021
3420 0.000189892425 19.5495529
3430 0.000190468845 19.575879
3440 0.000190286508 19.56756
