Freq p' spl
0 0.0123020992 55.7789846
10 0.012289926 55.7703854
20 0.0122526246 55.7439826
30 0.0121922853 55.7011024
40 0.01210859 55.6412716
50 0.0119896914 55.5555602
60 0.0118523128 55.4554622
70 0.0116757816 55.3251193
80 0.0114727427 55.1727452
90 0.0112230402 54.9816104
100 0.390268864 85.8066782
110 0.0106964698 54.5642094
120 0.0103655836 54.2912752
130 0.010007493 53.985906
140 0.00965502876 53.6744715
150 0.00926478184 53.316104
160 0.00887411271 52.9418989
170 0.00849122099 52.558803
180 0.00807862081 52.1261446
190 0.00767649881 51.6826638
200 0.00730277578 51.2491594
210 0.00693103335 50.7953599
220 0.00654030724 50.2913631
230 0.00619837206 49.8249529
240 0.00592003963 49.4258924
250 0.00556496922 48.8886554
260 0.00523828975 48.3631904
270 0.00508512351 48.1054302
280 0.00474123895 47.497237
290 0.0041846805 46.4126462
300 0.00470256126 47.4260893
310 0.00435547586 46.7601123
320 0.00423012033 46.5064545
330 0.00381604045 45.6116595
340 0.0036200879 45.1537824
350 0.00353886175 44.956672
360 0.00328268966 44.3039966
370 0.00303133838 43.6120884
380 0.00291892565 43.2838607
390 0.00276308117 42.807273
400 0.00252249969 42.0160225
410 0.00230252109 41.2234724
420 0.00219144747 40.7940214
430 0.00201526751 40.0660542
440 0.00177166142 38.9470147
450 0.00162685519 38.206378
460 0.00152060531 37.6197301
470 0.00132614975 36.4312515
480 0.00114632128 35.1655272
490 0.00107925631 34.6418921
500 0.000461992424 27.2720972
510 0.00078147237 31.8376726
520 0.000592377809 29.4313757
530 0.000478457559 27.5762685
540 0.000387113727 25.7361715
550 0.000269621712 22.5944973
560 0.000140351723 16.923755
570 5.45373e-05 8.71327275
580 0.000100066553 13.9851789
590 0.000212522196 20.527486
600 0.000332096141 24.4046767
610 0.000405870499 26.1471498
620 0.000472320689 27.4641395
630 0.00055210359 28.8198115
640 0.000630782358 29.9769908
650 0.000695815556 30.8292828
660 0.000753776301 31.5242497
670 0.000809528018 32.1440378
680 0.000859233863 32.6616278
690 0.00089367777 33.0030192
700 0.00197605288 39.8953713
710 0.000957849916 33.6053494
720 0.000976653492 33.7742102
730 0.00097883072 33.7935519
740 0.000973217747 33.7436005
750 0.000966564193 33.6840141
760 0.000953336115 33.564321
770 0.000927987895 33.3302463
780 0.0008977287 33.0423023
790 0.000864668624 32.7163941
800 0.000824329045 32.3014121
810 0.000775311116 31.7689203
820 0.000730117104 31.2472505
830 0.000688524398 30.7377868
840 0.000645192666 30.1731885
850 0.000602050316 29.5720559
860 0.000562151457 28.9764669
870 0.000522640572 28.3434625
880 0.000484068241 27.6775319
890 0.000446015684 26.9664027
900 0.000780765087 31.8298078
910 0.000376354114 25.4913334
920 0.000342623444 24.6757416
930 0.000309229397 23.7850156
940 0.0002761248 22.8015084
950 0.000249892318 21.9344582
960 0.000226344144 21.0747853
970 0.000207519991 20.3205989
980 0.000201011078 20.0438
990 0.000203459491 20.1489592
1000 0.000212179996 20.5134888
1010 0.00021288403 20.5422617
1020 0.000224611394 21.0080358
1030 0.000236719338 21.4640748
1040 0.000251167227 21.9786595
1050 0.00026691207 22.5067643
1060 0.000278498201 22.875848
1070 0.000291934061 23.2850955
1080 0.000304513534 23.6515321
1090 0.000311425974 23.8464967
1100 0.000153436916 17.6979973
1110 0.000325653927 24.2345265
1120 0.00033868579 24.5753396
1130 0.000345149728 24.7395508
1140 0.000348507545 24.8236438
1150 0.000354926143 24.9821599
1160 0.000358626731 25.0722532
1170 0.000359473969 25.092749
1180 0.000359789604 25.1003723
1190 0.000359052588 25.0825613
1200 0.000360761419 25.1238018
1210 0.000359254184 25.0874368
1220 0.000359085623 25.0833604
1230 0.000355497206 24.9961239
1240 0.000349266793 24.842546
1250 0.000343390621 24.6951687
1260 0.000335332337 24.4889088
1270 0.000326476388 24.2564356
1280 0.000319732071 24.0751241
1290 0.000311310182 23.8432666
1300 0.000131430549 16.3533265
1310 0.000285560203 23.0933537
1320 0.000276820166 22.8233546
1330 0.000268644824 22.5629696
1340 0.000257005774 22.1782577
1350 0.000247011357 21.8337385
1360 0.00023811395 21.5150969
1370 0.000229719494 21.2033571
1380 0.000222349818 20.9201356
1390 0.00021554457 20.6501418
1400 0.00020910029 20.3864928
1410 0.000205273247 20.2260471
1420 0.000205477583 20.234689
1430 0.000206443007 20.2754036
1440 0.000207662418 20.3265582
1450 0.000208810526 20.3744478
1460 0.000209905402 20.4198724
1470 0.000210760637 20.4551902
1480 0.000213688959 20.5750418
1490 0.000217767319 20.7392542
1500 0.000136928556 16.7092807
1510 0.000220453293 20.8457319
1520 0.000222258099 20.916552
1530 0.000225983614 21.0609391
1540 0.00022712816 21.1048197
1550 0.000226914114 21.0966303
1560 0.000227066049 21.1024441
1570 0.000225538902 21.0438293
1580 0.000222965345 20.9441474
1590 0.000220121613 20.8326538
1600 0.000216382944 20.6838606
1610 0.000214830689 20.6213265
1620 0.00021255955 20.5290125
1630 0.000210826977 20.4579237
1640 0.000209354868 20.3970613
1650 0.00020804654 20.3426101
1660 0.000206750178 20.2883179
1670 0.000204833713 20.2074288
1680 0.00020246195 20.1062684
1690 0.000201315504 20.0569446
1700 0.000221007837 20.8675536
