Time microphone-A_pFluct microphone-B_pFluct microphone-C_pFluct 
1e-05 2.20312 0.902659 0.110367 
2e-05 -17.2872 -15.1153 -9.70992 
3e-05 -16.5869 -14.9708 -9.89327 
4e-05 -17.8566 -15.2451 -9.57572 
5e-05 -18.4652 -16.1285 -10.3591 
6e-05 -18.1223 -15.347 -9.56442 
7e-05 -18.2302 -15.8335 -10.1137 
8e-05 -18.6625 -16.1303 -10.2587 
9e-05 -18.625 -16.2353 -10.4086 
0.0001 -19.0455 -16.8431 -10.9466 
0.00011 -18.8757 -16.8835 -11.0848 
0.00012 -19.3733 -16.1932 -9.96753 
0.00013 -19.3338 -16.945 -10.9234 
0.00014 -19.0739 -17.5774 -11.845 
0.00015 -20.1917 -17.5144 -11.1865 
0.00016 -21.2589 -17.7411 -10.9148 
0.00017 -19.1961 -16.2389 -10.1157 
0.00018 -20.1634 -18.6694 -12.638 
0.00019 -19.3654 -17.5506 -11.6596 
0.0002 -21.5429 -18.1403 -11.2635 
0.00021 -21.2992 -18.2137 -11.4812 
0.00022 -20.2586 -18.2052 -12.0103 
0.00023 -21.1395 -19.0119 -12.5569 
0.00024 -21.8838 -19.2369 -12.4505 
0.00025 -22.3858 -18.9817 -11.8724 
0.00026 -21.5106 -18.6793 -11.95 
0.00027 -21.3293 -19.7177 -13.336 
0.00028 -21.3419 -18.8987 -12.3101 
0.00029 -23.1108 -20.3442 -13.1909 
0.0003 -21.7251 -19.1085 -12.3719 
0.00031 -23.8309 -21.0727 -13.7233 
0.00032 -21.4575 -19.1618 -12.5766 
0.00033 -23.0929 -21.0376 -14.0621 
0.00034 -23.1549 -20.3285 -13.1472 
0.00035 -22.9047 -19.8999 -12.7436 
0.00036 -23.6759 -20.4243 -12.9959 
0.00037 -23.5598 -21.9706 -14.98 
0.00038 -24.2416 -21.314 -13.8089 
0.00039 -23.6015 -20.6648 -13.3329 
0.0004 -24.1646 -21.1296 -13.6189 
0.00041 -23.5079 -22.0854 -15.1487 
0.00042 -23.5837 -21.3936 -14.2482 
0.00043 -24.563 -21.5377 -13.9192 
0.00044 -24.5117 -21.9805 -14.4966 
0.00045 -25.4159 -22.5826 -14.7765 
0.00046 -24.2191 -21.5827 -14.1529 
0.00047 -25.6805 -23.2219 -15.4342 
0.00048 -23.5726 -21.6316 -14.5486 
0.00049 -25.8509 -23.1731 -15.2845 
0.0005 -24.9752 -22.014 -14.2961 
0.00051 -26.3541 -23.7861 -15.7856 
0.00052 -25.2839 -23.1697 -15.5735 
0.00053 -25.1845 -22.9844 -15.3942 
0.00054 -25.9838 -23.565 -15.7017 
0.00055 -26.3802 -22.7946 -14.5371 
0.00056 -25.9439 -24.2045 -16.5176 
0.00057 -26.462 -24.0507 -16.0571 
0.00058 -26.8015 -24.2428 -16.1197 
0.00059 -26.0998 -23.5567 -15.6297 
0.0006 -26.9237 -24.4771 -16.3472 
0.00061 -26.4616 -24.4351 -16.5343 
0.00062 -26.879 -24.226 -16.0573 
0.00063 -26.453 -24.3138 -16.3872 
0.00064 -27.6522 -24.789 -16.3561 
0.00065 -27.528 -25.4305 -17.2183 
0.00066 -26.9939 -25.2513 -17.272 
0.00067 -27.7521 -24.9815 -16.5426 
0.00068 -26.7338 -24.8708 -16.9327 
0.00069 -28.0799 -25.2027 -16.6471 
0.0007 -28.2976 -26.2039 -17.7796 
0.00071 -27.221 -25.1492 -17.0253 
0.00072 -28.9375 -26.3295 -17.6031 
0.00073 -27.7038 -25.4773 -17.1823 
0.00074 -27.8044 -25.6969 -17.4031 
0.00075 -28.5265 -26.2476 -17.7134 
0.00076 -28.4666 -26.7541 -18.3743 
0.00077 -28.1915 -25.3889 -16.8178 
0.00078 -29.6724 -27.6977 -18.9221 
0.00079 -27.7468 -25.5111 -17.1998 
0.0008 -29.1411 -27.7296 -19.2365 
0.00081 -29.6713 -27.363 -18.5049 
0.00082 -28.5201 -26.0278 -17.4403 
0.00083 -29.0418 -27.5142 -19.0188 
0.00084 -29.4471 -26.949 -18.1047 
0.00085 -29.5838 -27.9779 -19.3136 
0.00086 -30.0371 -27.5728 -18.5741 
0.00087 -28.6529 -26.9331 -18.4957 
0.00088 -29.8293 -27.8485 -19.024 
0.00089 -29.884 -27.631 -18.7246 
0.0009 -29.5808 -27.7491 -19.0284 
0.00091 -30.0869 -27.9469 -19.0114 
0.00092 -29.6988 -28.4779 -19.8731 
0.00093 -30.056 -27.9355 -19.0124 
0.00094 -30.4841 -28.4387 -19.416 
0.00095 -30.0268 -28.7245 -20.0084 
0.00096 -30.712 -28.3358 -19.1687 
0.00097 -30.2862 -28.4593 -19.5429 
0.00098 -30.5331 -28.858 -19.9103 
0.00099 -31.3998 -29.3602 -20.0852 
0.001 -29.8965 -28.6895 -20.0299 
0.00101 -30.7598 -28.5415 -19.3975 
0.00102 -30.8003 -29.5881 -20.6782 
0.00103 -31.6276 -29.9394 -20.6857 
0.00104 -29.6905 -27.7875 -19.0125 
0.00105 -31.1172 -30.0759 -21.1194 
0.00106 -31.0401 -28.5862 -19.3052 
0.00107 -31.4645 -30.2773 -21.1887 
0.00108 -31.6733 -29.4868 -20.0963 
0.00109 -31.2667 -29.8007 -20.6974 
0.0011 -30.9638 -29.6738 -20.6961 
0.00111 -30.9253 -29.912 -21.0119 
0.00112 -32.0504 -29.5369 -19.9609 
0.00113 -31.8351 -30.5669 -21.3538 
0.00114 -30.901 -29.8065 -20.8916 
0.00115 -31.3513 -29.9309 -20.8122 
0.00116 -32.7033 -31.2176 -21.7113 
0.00117 -31.5615 -30.2429 -21.0903 
0.00118 -29.3554 -28.2358 -19.7367 
0.00119 -33.732 -32.5158 -22.7914 
0.0012 -31.8082 -30.2881 -21.0169 
0.00121 -31.4756 -30.2927 -21.1946 
0.00122 -31.6429 -30.1624 -20.9451 
0.00123 -32.0158 -30.8225 -21.5725 
0.00124 -31.8004 -31 -21.9046 
0.00125 -32.9806 -30.9985 -21.2899 
0.00126 -31.5918 -30.6974 -21.6351 
0.00127 -32.4441 -31.0982 -21.6911 
0.00128 -31.4966 -30.543 -21.4911 
0.00129 -33.0168 -31.3892 -21.7549 
0.0013 -31.9814 -31.1643 -22.0116 
0.00131 -32.5507 -30.8946 -21.3801 
0.00132 -30.6292 -30.6862 -22.117 
0.00133 -33.5331 -31.4028 -21.5016 
0.00134 -32.406 -31.4718 -22.1716 
0.00135 -32.2808 -31.1134 -21.7899 
0.00136 -32.1048 -30.7493 -21.4277 
0.00137 -32.7918 -32.1314 -22.7904 
0.00138 -33.0143 -31.1162 -21.4112 
0.00139 -32.3785 -31.7673 -22.5505 
0.0014 -31.8806 -31.063 -21.932 
0.00141 -32.7747 -31.8601 -22.4593 
0.00142 -33.2698 -31.654 -21.9454 
0.00143 -32.7263 -31.5697 -22.1219 
0.00144 -32.2328 -31.5409 -22.3414 
0.00145 -32.1381 -31.0578 -21.7889 
0.00146 -32.1552 -31.4505 -22.268 
0.00147 -33.1936 -31.7645 -22.1194 
0.00148 -32.3788 -31.3417 -22.0154 
0.00149 -32.1377 -31.7478 -22.6452 
0.0015 -33.2007 -31.5066 -21.793 
0.00151 -32.8507 -31.2591 -21.666 
0.00152 -33.0994 -32.1887 -22.6931 
0.00153 -31.976 -30.9996 -21.7957 
0.00154 -32.5138 -31.7523 -22.4527 
0.00155 -33.3576 -31.8212 -22.1001 
0.00156 -32.5093 -31.2652 -21.8478 
0.00157 -32.4876 -31.4477 -22.0855 
0.00158 -32.3186 -31.3541 -22.0561 
0.00159 -32.7704 -31.4388 -21.9265 
0.0016 -32.9526 -31.7057 -22.1635 
0.00161 -32.3082 -31.1107 -21.7569 
0.00162 -32.0933 -31.3711 -22.1917 
0.00163 -32.8257 -31.519 -21.9953 
0.00164 -31.8005 -31.0602 -21.9555 
0.00165 -33.2259 -31.5695 -21.8492 
0.00166 -32.1847 -31.285 -22.0349 
0.00167 -31.9117 -30.7887 -21.5583 
0.00168 -33.2002 -31.9765 -22.3672 
0.00169 -32.0121 -30.2618 -20.8494 
0.0017 -32.4432 -31.2363 -21.8378 
0.00171 -31.9246 -30.9398 -21.7374 
0.00172 -31.815 -30.4451 -21.1781 
0.00173 -32.957 -31.5676 -21.9818 
0.00174 -32.4388 -30.4964 -20.9171 
0.00175 -30.8869 -29.952 -21.0443 
0.00176 -33.0654 -31.6309 -22.0027 
0.00177 -31.6278 -30.9622 -21.9158 
0.00178 -32.501 -30.3928 -20.7538 
0.00179 -32.0287 -30.385 -20.9885 
0.0018 -30.963 -29.7295 -20.7252 
0.00181 -32.2403 -31.5019 -22.2674 
0.00182 -31.5199 -30.1196 -20.9206 
0.00183 -32.4965 -29.9058 -20.1474 
0.00184 -31.206 -30.0299 -20.9707 
0.00185 -30.9542 -29.9949 -21.0573 
0.00186 -32.0142 -30.0097 -20.5253 
0.00187 -31.2007 -29.4105 -20.2012 
0.00188 -32.1648 -30.5094 -21.0679 
0.00189 -31.0365 -29.1028 -19.9025 
0.0019 -30.3804 -29.4287 -20.6478 
0.00191 -31.5798 -29.601 -20.2395 
0.00192 -31.152 -28.8996 -19.5882 
0.00193 -30.5574 -29.3201 -20.4194 
0.00194 -30.5272 -29.4273 -20.568 
0.00195 -30.5458 -28.266 -19.1128 
0.00196 -31.7014 -29.4029 -19.9274 
0.00197 -29.8043 -28.1447 -19.3456 
0.00198 -30.3458 -28.5931 -19.6222 
0.00199 -30.3998 -28.7644 -19.8068 
0.002 -29.875 -27.6595 -18.7037 
