Freq p' spl
0 0.500077 87.9601
1.52588 0.0793881 71.9745
3.05176 0.0794488 71.9811
4.57764 0.0795395 71.9911
6.10352 0.0796385 72.0019
7.62939 0.0798052 72.02
9.15527 0.0799725 72.0382
10.6812 0.080198 72.0627
12.207 0.0804176 72.0864
13.7329 0.0806898 72.1158
15.2588 0.0810042 72.1495
16.7847 0.0813653 72.1882
18.3105 0.0817412 72.2282
19.8364 0.0822109 72.278
21.3623 0.0826788 72.3273
22.8882 0.0831231 72.3738
24.4141 0.0836008 72.4236
25.9399 0.0841848 72.4841
27.4658 0.0847356 72.5407
28.9917 0.0855051 72.6192
30.5176 0.0862107 72.6906
32.0435 0.0868403 72.7538
33.5693 0.0876065 72.8301
35.0952 0.0884255 72.9109
36.6211 0.0894362 73.0097
38.147 0.0902682 73.0901
39.6729 0.0912766 73.1866
41.1987 0.0923384 73.287
42.7246 0.0934303 73.3892
44.2505 0.0947074 73.5071
45.7764 0.0958602 73.6122
47.3022 0.0970799 73.722
48.8281 0.0986069 73.8575
50.354 0.099919 73.9724
51.8799 0.101685 74.1245
53.4058 0.103352 74.2658
54.9316 0.104965 74.4003
56.4575 0.106855 74.5553
57.9834 0.108899 74.7199
59.5093 0.111371 74.9148
61.0352 0.114205 75.1331
62.561 0.145518 77.2377
64.0869 0.114852 75.1822
65.6128 0.118427 75.4484
67.1387 0.12125 75.653
68.6646 0.124352 75.8725
70.1904 0.127525 76.0913
71.7163 0.130511 76.2924
73.2422 0.134189 76.5338
74.7681 0.13772 76.7594
76.2939 0.141163 76.9738
77.8198 0.145434 77.2327
79.3457 0.149951 77.4984
80.8716 0.154745 77.7717
82.3975 0.159763 78.0489
83.9233 0.164929 78.3253
85.4492 0.170638 78.6209
86.9751 0.177252 78.9512
88.501 0.184491 79.2989
90.0269 0.191615 79.628
91.5527 0.199755 79.9894
93.0786 0.2089 80.3782
94.6045 0.219207 80.7965
96.1304 0.229852 81.2084
97.6562 0.242413 81.6705
99.1821 0.256552 82.1629
100.708 0.271861 82.6663
102.234 0.288654 83.187
103.76 0.309637 83.7965
105.286 0.330687 84.3677
106.812 0.358737 85.0749
108.337 0.391748 85.8395
109.863 0.429533 86.6393
111.389 0.474379 87.5019
112.915 0.533431 88.521
114.441 0.60773 89.6536
115.967 0.707045 90.9683
117.493 0.838164 92.446
119.019 1.05041 94.4066
120.544 1.3824 96.7921
122.07 2.04946 100.212
123.596 3.82489 105.632
125.122 33.5747 124.5
126.648 4.95802 107.886
128.174 2.32687 101.315
129.7 1.49924 97.4968
131.226 1.11433 94.9197
132.751 0.87745 92.8438
134.277 0.735661 91.3129
135.803 0.627388 89.9301
137.329 0.547669 88.7498
138.855 0.486281 87.7171
140.381 0.438253 86.8139
141.907 0.397976 85.9765
143.433 0.363607 85.192
144.958 0.3345 84.4673
146.484 0.312617 83.8796
148.01 0.290648 83.2467
149.536 0.272945 82.7009
151.062 0.256847 82.1729
152.588 0.24289 81.6876
154.114 0.230139 81.2192
155.64 0.219475 80.8071
157.166 0.208631 80.367
158.691 0.199333 79.971
160.217 0.19074 79.5882
161.743 0.183639 79.2587
163.269 0.176298 78.9043
164.795 0.169776 78.5769
166.321 0.163888 78.2703
167.847 0.15863 77.9871
169.373 0.153537 77.7036
170.898 0.148408 77.4085
172.424 0.144713 77.1895
173.95 0.140104 76.9084
175.476 0.135905 76.6441
177.002 0.131933 76.3865
178.528 0.129205 76.205
180.054 0.126652 76.0317
181.58 0.124157 75.8588
183.105 0.121219 75.6508
184.631 0.121467 75.6686
186.157 0.121862 75.6968
187.683 0.166456 78.4054
189.209 0.0955211 73.5814
190.735 0.101554 74.1133
192.261 0.100976 74.0638
193.787 0.0998968 73.9704
195.312 0.0980241 73.8061
196.838 0.0971583 73.729
198.364 0.0966382 73.6824
199.89 0.094008 73.4427
201.416 0.0933884 73.3853
202.942 0.0912385 73.183
204.468 0.0890025 72.9674
205.994 0.087464 72.816
207.52 0.0874029 72.8099
209.045 0.0883416 72.9027
210.571 0.0861362 72.6831
212.097 0.0854348 72.6121
213.623 0.0847057 72.5377
215.149 0.0835143 72.4146
216.675 0.0842449 72.4903
218.201 0.0824395 72.3021
219.727 0.0832136 72.3833
221.252 0.0801738 72.06
222.778 0.0817366 72.2277
224.304 0.0817433 72.2284
225.83 0.0819806 72.2536
227.356 0.080935 72.1421
228.882 0.0831812 72.3799
230.408 0.0832455 72.3866
231.934 0.0838204 72.4464
233.459 0.0845213 72.5187
234.985 0.0876943 72.8388
236.511 0.0892586 72.9924
238.037 0.0915407 73.2117
239.563 0.0952169 73.5537
241.089 0.100983 74.0644
242.615 0.108003 74.6481
244.141 0.12069 75.6128
245.667 0.138608 76.8151
247.192 0.179739 79.0722
248.718 0.278805 82.8854
250.244 1.16808 95.3288
251.77 0.341579 84.6492
253.296 0.121876 75.6978
254.822 0.0629171 69.9548
256.348 0.0394968 65.9106
257.874 0.0268453 62.5568
259.399 0.0227657 61.125
260.925 0.0240872 61.6151
262.451 0.0247837 61.8627
263.977 0.0259104 62.2489
265.503 0.0274059 62.7363
267.029 0.0278346 62.8711
268.555 0.028721 63.1434
270.081 0.0309955 63.8054
271.606 0.0318014 64.0283
273.132 0.0317757 64.0213
274.658 0.0319135 64.0589
276.184 0.0314855 63.9416
277.71 0.031687 63.997
279.236 0.0327368 64.2801
280.762 0.0330685 64.3677
282.288 0.0328219 64.3027
283.813 0.0333954 64.4531
285.339 0.033691 64.5297
286.865 0.0335957 64.5051
288.391 0.032846 64.3091
289.917 0.0337413 64.5426
291.443 0.0330226 64.3556
292.969 0.0337566 64.5466
294.495 0.0340012 64.6093
296.021 0.0347628 64.8017
297.546 0.0333814 64.4495
299.072 0.0338495 64.5704
300.598 0.0330093 64.3521
302.124 0.0333022 64.4289
303.65 0.0341173 64.6389
305.176 0.0332998 64.4282
306.702 0.0314743 63.9385
308.228 0.0311644 63.8526
309.753 0.0290971 63.2564
311.279 0.0239853 61.5783
312.805 0.0151738 57.6013
314.331 0.0599134 69.5299
315.857 0.0460058 67.2356
317.383 0.0423734 66.5213
318.909 0.0415723 66.3555
320.435 0.0397239 65.9604
321.96 0.0393281 65.8735
323.486 0.0395447 65.9212
325.012 0.039156 65.8354
326.538 0.0400982 66.0419
328.064 0.038798 65.7556
329.59 0.0402972 66.0849
331.116 0.0400325 66.0277
332.642 0.0393261 65.873
334.167 0.0397755 65.9717
335.693 0.0408305 66.1991
337.219 0.040594 66.1486
338.745 0.0410921 66.2546
340.271 0.0412338 66.2845
341.797 0.0423009 66.5064
343.323 0.0420116 66.4468
344.849 0.0432044 66.69
346.375 0.0439677 66.8421
347.9 0.0437257 66.7941
349.426 0.0458922 67.2142
350.952 0.0474966 67.5126
352.478 0.0491719 67.8137
354.004 0.0502664 68.0049
355.53 0.0532086 68.499
357.056 0.0557626 68.9063
358.582 0.0575433 69.1793
360.107 0.0612574 69.7226
361.633 0.064817 70.2132
363.159 0.0694759 70.8161
364.685 0.0764406 71.6459
366.211 0.0859465 72.664
367.737 0.0964411 73.6646
369.263 0.114969 75.191
370.789 0.142252 77.0406
372.314 0.195035 79.7816
373.84 0.317394 84.0114
375.366 1.09722 94.7853
376.892 0.662452 90.4025
378.418 0.243334 81.7035
379.944 0.141382 76.9873
381.47 0.0985754 73.8548
382.996 0.0743011 71.3993
384.521 0.0593325 69.4453
386.047 0.0482882 67.6562
387.573 0.0410629 66.2484
389.099 0.0349583 64.8504
390.625 0.0301967 63.5786
392.151 0.0266378 62.4894
393.677 0.0238696 61.5363
395.203 0.0214499 60.6079
396.729 0.0203197 60.1378
398.254 0.0188398 59.4809
399.78 0.0176881 58.933
401.306 0.0163075 58.2271
402.832 0.016228 58.1847
404.358 0.0154485 57.7572
405.884 0.0150762 57.5452
407.41 0.0143819 57.1357
408.936 0.0143541 57.1189
410.461 0.0136232 56.665
411.987 0.0134988 56.5853
