Freq p' spl
0 0.41364 86.3118
1.52588 0.0693817 70.8043
3.05176 0.0694374 70.8113
4.57764 0.069499 70.819
6.10352 0.0695896 70.8303
7.62939 0.069742 70.8493
9.15527 0.0699258 70.8721
10.6812 0.0701213 70.8964
12.207 0.0703383 70.9232
13.7329 0.0705564 70.9501
15.2588 0.0707966 70.9796
16.7847 0.0711075 71.0177
18.3105 0.0714636 71.0611
19.8364 0.0718833 71.112
21.3623 0.0722655 71.158
22.8882 0.072716 71.212
24.4141 0.0731263 71.2609
25.9399 0.0736719 71.3254
27.4658 0.0741184 71.3779
28.9917 0.0748018 71.4576
30.5176 0.0754025 71.5271
32.0435 0.0759967 71.5953
33.5693 0.0766978 71.6751
35.0952 0.0773587 71.7496
36.6211 0.0782887 71.8534
38.147 0.079067 71.9393
39.6729 0.079913 72.0318
41.1987 0.0808002 72.1277
42.7246 0.0817116 72.2251
44.2505 0.0829019 72.3507
45.7764 0.0839532 72.4601
47.3022 0.0850342 72.5713
48.8281 0.0863045 72.7001
50.354 0.0874694 72.8165
51.8799 0.0890063 72.9678
53.4058 0.090402 73.103
54.9316 0.0918746 73.2433
56.4575 0.0934694 73.3928
57.9834 0.0952606 73.5577
59.5093 0.097324 73.7438
61.0352 0.0994335 73.9301
62.561 0.117103 75.3508
64.0869 0.101479 74.1069
65.6128 0.104146 74.3322
67.1387 0.106529 74.5287
68.6646 0.109183 74.7425
70.1904 0.111935 74.9587
71.7163 0.114495 75.1552
73.2422 0.117768 75.3999
74.7681 0.120804 75.621
76.2939 0.123941 75.8437
77.8198 0.127648 76.0997
79.3457 0.131457 76.3551
80.8716 0.135715 76.6319
82.3975 0.140027 76.9036
83.9233 0.144651 77.1858
85.4492 0.149589 77.4774
86.9751 0.155148 77.7943
88.501 0.161627 78.1497
90.0269 0.167832 78.4769
91.5527 0.174872 78.8338
93.0786 0.182804 79.2191
94.6045 0.191972 79.6442
96.1304 0.201099 80.0476
97.6562 0.212057 80.5084
99.1821 0.224418 81.0005
100.708 0.237639 81.4977
102.234 0.252213 82.0148
103.76 0.270479 82.6221
105.286 0.288746 83.1897
106.812 0.313225 83.8965
108.337 0.341817 84.6553
109.863 0.374523 85.449
111.389 0.413495 86.3088
112.915 0.464698 87.3228
114.441 0.529202 88.4518
115.967 0.615201 89.7597
117.493 0.72881 91.2317
119.019 0.912968 93.1885
120.544 1.20058 95.5672
122.07 1.77877 98.9818
123.596 3.31702 104.394
125.122 29.0943 123.256
126.648 4.29288 106.634
128.174 2.01308 100.057
129.7 1.29596 96.2312
131.226 0.962285 93.6455
132.751 0.756932 91.5605
134.277 0.634009 90.0213
135.803 0.540165 88.6299
137.329 0.470893 87.4378
138.855 0.417674 86.3961
140.381 0.375952 85.482
141.907 0.341048 84.6357
143.433 0.311264 83.842
144.958 0.285707 83.0978
146.484 0.266737 82.5011
148.01 0.24755 81.8527
149.536 0.232243 81.2983
151.062 0.218121 80.7534
152.588 0.205821 80.2492
154.114 0.194808 79.7715
155.64 0.185573 79.3497
157.166 0.176084 78.8938
158.691 0.167917 78.4813
160.217 0.160333 78.0799
161.743 0.153805 77.7188
163.269 0.147773 77.3713
164.795 0.141751 77.0099
166.321 0.136577 76.6869
167.847 0.131862 76.3818
169.373 0.127291 76.0753
170.898 0.122635 75.7517
172.424 0.119411 75.5203
173.95 0.115071 75.1987
175.476 0.111194 74.901
177.002 0.107615 74.6169
178.528 0.105051 74.4074
180.054 0.10276 74.2159
181.58 0.100393 74.0135
183.105 0.0977335 73.7803
184.631 0.0978575 73.7913
186.157 0.0986853 73.8645
187.683 0.142089 77.0306
189.209 0.0725717 71.1947
190.735 0.0785276 71.8799
192.261 0.0779771 71.8187
193.787 0.0768023 71.6869
195.312 0.0747708 71.454
196.838 0.0741543 71.3821
198.364 0.0729596 71.2411
199.89 0.070299 70.9184
201.416 0.0696099 70.8328
202.942 0.0677061 70.5919
204.468 0.0650742 70.2476
205.994 0.0633876 70.0195
207.52 0.0625284 69.9009
209.045 0.0629501 69.9593
210.571 0.060621 69.6319
212.097 0.0590496 69.4037
213.623 0.0578171 69.2205
215.149 0.0558307 68.9169
216.675 0.0557411 68.9029
218.201 0.0535936 68.5617
219.727 0.0534868 68.5443
221.252 0.049596 67.8883
222.778 0.048994 67.7823
224.304 0.0481551 67.6323
225.83 0.0465654 67.3407
227.356 0.0441969 66.8872
228.882 0.0443205 66.9115
230.408 0.0426148 66.5706
231.934 0.0400253 66.0261
233.459 0.0374705 65.4532
234.985 0.0368625 65.3111
236.511 0.0341375 64.644
238.037 0.0313216 63.8963
239.563 0.0285073 63.0785
241.089 0.026575 62.4689
242.615 0.0233771 61.3552
244.141 0.0260821 62.3063
245.667 0.0389748 65.7951
247.192 0.0659853 70.3684
248.718 0.145054 77.21
250.244 0.872539 92.7951
251.77 0.360952 85.1284
253.296 0.18082 79.1243
254.822 0.129604 76.2318
256.348 0.105358 74.4328
257.874 0.0935225 73.3977
259.399 0.0840582 72.471
260.925 0.0791409 71.9474
262.451 0.0728214 71.2246
263.977 0.0696856 70.8423
265.503 0.0669613 70.4959
267.029 0.0651995 70.2643
268.555 0.0625775 69.9078
270.081 0.0613411 69.7344
271.606 0.059664 69.4936
273.132 0.0581241 69.2665
274.658 0.0561437 68.9654
276.184 0.0541656 68.6539
277.71 0.0532733 68.5096
279.236 0.0527835 68.4294
280.762 0.0529737 68.4606
282.288 0.0509324 68.1193
283.813 0.0504167 68.0309
285.339 0.0501861 67.9911
286.865 0.0493678 67.8483
288.391 0.0479741 67.5995
289.917 0.0484647 67.6879
291.443 0.0468935 67.4017
292.969 0.0472048 67.4591
294.495 0.0470743 67.4351
296.021 0.0467974 67.3838
297.546 0.0457638 67.1898
299.072 0.0457087 67.1794
300.598 0.0448495 67.0146
302.124 0.0445905 66.9643
303.65 0.045275 67.0966
305.176 0.0447827 67.0016
306.702 0.0434147 66.7321
308.228 0.0436898 66.787
309.753 0.0432424 66.6976
311.279 0.0426599 66.5798
312.805 0.0397693 65.9704
314.331 0.0455014 67.1399
315.857 0.0439876 66.846
317.383 0.0433021 66.7096
318.909 0.0436433 66.7777
320.435 0.0428968 66.6279
321.96 0.0425343 66.5542
323.486 0.0429695 66.6426
325.012 0.0426149 66.5706
326.538 0.043411 66.7314
328.064 0.0422624 66.4985
329.59 0.0433414 66.7175
331.116 0.0431727 66.6836
332.642 0.0425025 66.5477
334.167 0.0429755 66.6438
335.693 0.0438208 66.813
337.219 0.043328 66.7148
338.745 0.0437915 66.8072
340.271 0.0437587 66.8007
341.797 0.0446841 66.9825
343.323 0.0443524 66.9177
344.849 0.0451609 67.0747
346.375 0.0458168 67.1999
347.9 0.0455203 67.1435
349.426 0.0470536 67.4313
350.952 0.0483142 67.6609
352.478 0.0500101 67.9605
354.004 0.0506507 68.0711
355.53 0.0532017 68.4979
357.056 0.0553184 68.8368
358.582 0.0565854 69.0335
360.107 0.0597015 69.4991
361.633 0.0628127 69.9404
363.159 0.0666402 70.4541
364.685 0.0725884 71.1967
366.211 0.0804959 72.0949
367.737 0.0895314 73.0189
369.263 0.105355 74.4325
370.789 0.128754 76.1746
372.314 0.174539 78.8172
373.84 0.280454 82.9366
375.366 0.955494 93.584
376.892 0.568668 89.0766
378.418 0.20592 80.2534
379.944 0.118227 75.4338
381.47 0.0814312 72.1952
382.996 0.0607696 69.6531
384.521 0.0482665 67.6523
386.047 0.039306 65.8686
387.573 0.0332684 64.42
389.099 0.0286005 63.1069
390.625 0.0251338 61.9846
392.151 0.0221834 60.9
393.677 0.0207121 60.3039
395.203 0.0190084 59.5583
396.729 0.0185884 59.3642
398.254 0.017754 58.9653
399.78 0.0170998 58.6392
401.306 0.0166937 58.4304
402.832 0.0168942 58.5342
404.358 0.0163425 58.2458
405.884 0.0164538 58.3047
407.41 0.0163459 58.2476
408.936 0.0164992 58.3287
410.461 0.015966 58.0433
411.987 0.016163 58.1499
413.513 0.0164242 58.2891
415.039 0.016519 58.3391
416.565 0.0163139 58.2306
418.091 0.0167569 58.4633
419.617 0.0172037 58.6919
421.143 0.0167242 58.4463
422.668 0.0174414 58.811
424.194 0.0171567 58.6681
425.72 0.0177574 58.967
427.246 0.0183275 59.2415
428.772 0.0182848 59.2212
430.298 0.0187118 59.4217
431.824 0.0193817 59.7272
433.35 0.0205714 60.2447
434.875 0.0227103 61.1039
436.401 0.0266426 62.4909
437.927 0.0514597 68.2087
439.453 0.013252 56.425
440.979 0.00564567 49.0137
442.505 0.0100216 53.9981
444.031 0.0117795 55.402
445.557 0.0126483 56.0201
447.083 0.0129207 56.2051
448.608 0.0137531 56.7474
450.134 0.0140529 56.9347
451.66 0.0145536 57.2388
453.186 0.0143265 57.1022
454.712 0.0150058 57.5046
456.238 0.0149681 57.4827
457.764 0.0147959 57.3823
459.29 0.0150632 57.5378
460.815 0.0151963 57.6141
462.341 0.0151698 57.599
463.867 0.0153243 57.687
465.393 0.0151311 57.5768
466.919 0.0154857 57.778
468.445 0.0155117 57.7926
469.971 0.0154881 57.7794
471.497 0.0159492 58.0342
473.022 0.0156221 57.8542
474.548 0.0160443 58.0858
476.074 0.0164081 58.2806
477.6 0.0162959 58.221
479.126 0.0165508 58.3558
480.652 0.0166222 58.3932
482.178 0.0166049 58.3841
483.704 0.0166873 58.4271
485.229 0.0171103 58.6446
486.755 0.0175951 58.8872
488.281 0.0180852 59.1259
489.807 0.0188907 59.5044
491.333 0.0196095 59.8287
492.859 0.0209558 60.4055
494.385 0.0227038 61.1014
495.911 0.0259902 62.2756
497.437 0.0322604 64.1528
498.962 0.0466394 67.3545
500.488 0.123353 75.8024
502.014 0.120597 75.6062
503.54 0.0384341 65.6737
505.066 0.023228 61.2996
506.592 0.0179061 59.0394
508.118 0.0157145 57.9054
509.644 0.014831 57.4028
511.169 0.0137881 56.7695
512.695 0.0137441 56.7417
514.221 0.0135038 56.5885
515.747 0.0130993 56.3243
517.273 0.0131799 56.3776
518.799 0.013043 56.2869
520.325 0.0132434 56.4194
521.851 0.0129719 56.2395
523.376 0.0130958 56.3221
524.902 0.0130052 56.2618
526.428 0.0129284 56.2103
527.954 0.0128904 56.1847
529.48 0.0131925 56.3859
531.006 0.0129562 56.229
532.532 0.0133182 56.4683
534.058 0.0128775 56.176
535.583 0.0128949 56.1877
537.109 0.0130109 56.2655
538.635 0.0129323 56.2129
540.161 0.0130835 56.3139
541.687 0.0128115 56.1314
543.213 0.0130132 56.2671
544.739 0.0127743 56.1061
546.265 0.012779 56.1093
547.791 0.0131985 56.3899
549.316 0.0129526 56.2265
550.842 0.0129881 56.2503
552.368 0.0130338 56.2808
553.894 0.0130375 56.2833
555.42 0.012944 56.2208
556.946 0.0135838 56.6398
558.472 0.0133801 56.5086
559.998 0.0137099 56.7201
561.523 0.0144077 57.1513
563.049 0.0183108 59.2336
564.575 0.00588794 49.3787
566.101 0.00997182 53.9549
567.627 0.0111721 54.9421
569.153 0.0113116 55.0499
570.679 0.0116539 55.3089
572.205 0.011458 55.1616
573.73 0.0118195 55.4314
575.256 0.0120806 55.6211
576.782 0.0117635 55.3901
578.308 0.0116934 55.3382
579.834 0.0119331 55.5145
581.36 0.0119333 55.5146
582.886 0.0117818 55.4037
584.412 0.0119279 55.5107
585.937 0.0120238 55.5803
587.463 0.0115669 55.2437
588.989 0.0122281 55.7266
590.515 0.0117722 55.3966
592.041 0.0118152 55.4283
593.567 0.0116282 55.2896
595.093 0.0117565 55.385
596.619 0.0119189 55.5042
598.145 0.0114792 55.1776
599.67 0.0118547 55.4572
601.196 0.0115979 55.267
602.722 0.0116722 55.3224
604.248 0.0117808 55.4029
605.774 0.0114101 55.1252
607.3 0.0112232 54.9817
608.826 0.0114457 55.1522
610.352 0.0113929 55.1121
611.877 0.0115881 55.2596
613.403 0.0114167 55.1302
614.929 0.0115542 55.2342
616.455 0.0116316 55.2922
617.981 0.0115305 55.2164
619.507 0.0114962 55.1905
621.033 0.011682 55.3297
622.559 0.0119707 55.5418
624.084 0.0140464 56.9307
