Freq p' spl
0 0.595706 89.48
1.52588 0.045269 67.0954
3.05176 0.0453048 67.1023
4.57764 0.0453344 67.108
6.10352 0.0453906 67.1187
7.62939 0.0454947 67.1386
9.15527 0.0456322 67.1648
10.6812 0.045764 67.1899
12.207 0.0459174 67.2189
13.7329 0.0460476 67.2435
15.2588 0.0461854 67.2695
16.7847 0.0463853 67.307
18.3105 0.0466319 67.3531
19.8364 0.0469103 67.4048
21.3623 0.0471421 67.4476
22.8882 0.0474709 67.508
24.4141 0.0477357 67.5563
25.9399 0.0481095 67.624
27.4658 0.0483813 67.6729
28.9917 0.0488276 67.7527
30.5176 0.0492152 67.8214
32.0435 0.049627 67.8938
33.5693 0.050101 67.9763
35.0952 0.0504975 68.0448
36.6211 0.0511307 68.153
38.147 0.0516663 68.2435
39.6729 0.052197 68.3323
41.1987 0.0527499 68.4238
42.7246 0.0533171 68.5167
44.2505 0.0541375 68.6494
45.7764 0.0548435 68.7619
47.3022 0.0555563 68.8741
48.8281 0.0563449 68.9965
50.354 0.0571125 69.114
51.8799 0.0581094 69.2643
53.4058 0.0589789 69.3933
54.9316 0.059976 69.5389
56.4575 0.0609797 69.6831
57.9834 0.0621456 69.8476
59.5093 0.0634296 70.0252
61.0352 0.0645855 70.1821
62.561 0.0702869 70.9169
64.0869 0.0667964 70.4745
65.6128 0.0682616 70.6629
67.1387 0.0697586 70.8513
68.6646 0.0714513 71.0596
70.1904 0.0732276 71.2729
71.7163 0.074865 71.465
73.2422 0.0770329 71.7129
74.7681 0.0789753 71.9292
76.2939 0.0810894 72.1587
77.8198 0.0834864 72.4117
79.3457 0.0858816 72.6574
80.8716 0.0886903 72.9369
82.3975 0.0914545 73.2035
83.9233 0.0945291 73.4907
85.4492 0.0977081 73.778
86.9751 0.101195 74.0826
88.501 0.105501 74.4445
90.0269 0.109525 74.7697
91.5527 0.11406 75.1221
93.0786 0.119186 75.5039
94.6045 0.125246 75.9346
96.1304 0.131078 76.33
97.6562 0.138194 76.7892
99.1821 0.146239 77.2807
100.708 0.154749 77.772
102.234 0.16417 78.2853
103.76 0.176011 78.8902
105.286 0.187819 79.4542
106.812 0.203725 80.1603
108.337 0.222176 80.9133
109.863 0.243268 81.7011
111.389 0.268494 82.5581
112.915 0.30157 83.5672
114.441 0.343286 84.6925
115.967 0.39877 85.9938
117.493 0.472109 87.4603
119.019 0.591145 89.4133
120.544 0.77679 91.7855
122.07 1.15017 95.1946
123.596 2.14315 100.6
125.122 18.7841 119.455
126.648 2.76943 102.827
128.174 1.29767 96.2427
129.7 0.834725 92.4103
131.226 0.619217 89.8163
132.751 0.486588 87.7226
134.277 0.407194 86.1754
135.803 0.346597 84.7759
137.329 0.301761 83.5727
138.855 0.267389 82.5223
140.381 0.240394 81.5979
141.907 0.217862 80.743
143.433 0.198635 79.9405
144.958 0.181935 79.1777
146.484 0.169686 78.5723
148.01 0.157212 77.9091
149.536 0.147355 77.3467
151.062 0.138137 76.7856
152.588 0.130078 76.2635
154.114 0.122992 75.7769
155.64 0.117039 75.346
157.166 0.110861 74.8749
158.691 0.105525 74.4465
160.217 0.100553 74.0273
161.743 0.0961192 73.6356
163.269 0.0924222 73.2949
164.795 0.0883279 72.9014
166.321 0.0849424 72.5619
167.847 0.081811 72.2356
169.373 0.0787746 71.9071
170.898 0.075644 71.5549
172.424 0.0735557 71.3117
173.95 0.0705607 70.9507
175.476 0.0679077 70.6178
177.002 0.0655373 70.3092
178.528 0.063749 70.0689
180.054 0.0622368 69.8603
181.58 0.0605677 69.6242
183.105 0.058778 69.3637
184.631 0.0587825 69.3644
186.157 0.0595489 69.4769
187.683 0.0915272 73.2104
189.209 0.0419177 66.4273
190.735 0.0456095 67.1605
192.261 0.0451387 67.0704
193.787 0.0442016 66.8882
195.312 0.0426465 66.5771
196.838 0.0423481 66.5161
198.364 0.0411093 66.2582
199.89 0.0392376 65.8534
201.416 0.0387548 65.7459
202.942 0.0375538 65.4725
204.468 0.0355443 64.9948
205.994 0.0343457 64.6969
207.52 0.0332748 64.4217
209.045 0.0334159 64.4585
210.571 0.0317807 64.0227
212.097 0.0302398 63.591
213.623 0.0293684 63.337
215.149 0.0274923 62.7636
216.675 0.0273308 62.7124
218.201 0.0259521 62.2629
219.727 0.0257379 62.1909
221.252 0.0230132 61.219
222.778 0.0214018 60.5884
224.304 0.0212918 60.5436
225.83 0.019873 59.9447
227.356 0.0186799 59.4069
228.882 0.0189664 59.5391
230.408 0.0189802 59.5454
231.934 0.0185057 59.3255
233.459 0.0188735 59.4965
234.985 0.0209489 60.4026
236.511 0.0233829 61.3574
238.037 0.0283432 63.0284
239.563 0.0345476 64.7478
241.089 0.0437461 66.7982
242.615 0.0560478 68.9506
244.141 0.0761124 71.6085
245.667 0.109241 74.7471
247.192 0.169563 78.566
248.718 0.322578 84.1521
250.244 1.69111 98.5428
251.77 0.625045 89.8976
253.296 0.28532 83.086
254.822 0.189176 79.5167
256.348 0.145627 77.2442
257.874 0.121129 75.6444
259.399 0.10514 74.4148
260.925 0.0941531 73.4561
262.451 0.0844388 72.5102
263.977 0.0782715 71.8515
265.503 0.073187 71.2681
267.029 0.0694666 70.8149
268.555 0.0653791 70.2882
270.081 0.0624878 69.8953
271.606 0.0598876 69.5261
273.132 0.05754 69.1788
274.658 0.0549065 68.7719
276.184 0.0525633 68.3931
277.71 0.0510826 68.1449
279.236 0.0498741 67.9369
280.762 0.0496117 67.8911
282.288 0.0472665 67.4705
283.813 0.0462082 67.2738
285.339 0.0457092 67.1795
286.865 0.0447433 66.994
288.391 0.0433608 66.7213
289.917 0.0434233 66.7339
291.443 0.0418683 66.4171
292.969 0.0417861 66.4
294.495 0.0413556 66.3101
296.021 0.0406736 66.1657
297.546 0.0400208 66.0251
299.072 0.0397364 65.9632
300.598 0.0390457 65.8109
302.124 0.0385641 65.7031
