Freq p' spl
0 0.00254935373 42.1080021
10 0.00254737461 42.1012564
20 0.00254150233 42.0812103
30 0.00253195093 42.0485058
40 0.00251823216 42.0013154
50 0.00249745583 41.9293564
60 0.00247384153 41.8468376
70 0.00244068806 41.7296456
80 0.00240221808 41.5916487
90 0.00235217327 41.4087863
100 0.0805036275 72.0957091
110 0.00224967152 41.0217823
120 0.00217790496 40.7401786
130 0.00210275714 40.4351824
140 0.00202756323 40.1188882
150 0.00194273361 39.7476652
160 0.00185837223 39.3620542
170 0.00177404264 38.9586812
180 0.00168284781 38.5002969
190 0.00159433445 38.0309887
200 0.00151110482 37.5652919
210 0.00142777473 37.0725939
220 0.00134104861 36.5282905
230 0.00126518249 36.0224635
240 0.00120265179 35.5821981
250 0.00112496068 35.0021469
260 0.00105450581 34.4403796
270 0.00102072886 34.1576079
280 0.000948304577 33.518357
290 0.000833249718 32.3949036
300 0.000949269422 33.5271899
310 0.000872822873 32.7979225
320 0.000848835796 32.5558738
330 0.000765809204 31.6618117
340 0.000729068977 31.2347725
350 0.000716106157 31.0789482
360 0.000666339564 30.4533121
370 0.000617531852 29.7925874
380 0.0005980563 29.5142415
390 0.000568697571 29.0770275
400 0.000520538397 28.3084555
410 0.000477473506 27.5583856
420 0.000456984317 27.177426
430 0.000421312557 26.4714882
440 0.000370279587 25.3499955
450 0.000341265845 24.6412566
460 0.000320314105 24.0909213
470 0.000278711055 22.882484
480 0.000240754683 21.6108949
490 0.000228615741 21.1615227
500 0.000123131967 15.7868165
510 0.000162945559 18.2202506
520 0.000122325325 15.7297277
530 0.000100682276 14.0384606
540 8.21414195e-05 12.2706442
550 5.73137399e-05 9.14457505
560 3.2159848e-05 4.12567982
570 1.6658602e-05 -1.58782887
580 2.24863126e-05 1.01776495
590 4.26299234e-05 6.57369113
600 6.46450696e-05 10.1901082
610 7.87426276e-05 11.9035981
620 9.17964533e-05 13.2359181
630 0.000107050005 14.5711339
640 0.000121473447 15.6690272
650 0.000133483001 16.4879193
660 0.00014451699 17.1777783
670 0.00015488692 17.7796949
680 0.00016401943 18.277306
690 0.000170520394 18.6149266
700 0.000358967878 25.0805118
710 0.0001825994 19.209387
720 0.000186495164 19.3927516
730 0.000187374956 19.433631
740 0.000186822058 19.4079631
750 0.000186200096 19.3789981
760 0.000184626258 19.3052694
770 0.000180838792 19.125232
780 0.00017619324 18.8991849
790 0.000171190663 18.6490016
800 0.000165050504 18.3317372
810 0.000156686725 17.8800442
820 0.000148804895 17.4317445
830 0.000141598112 17.0005493
840 0.000134005289 16.5218389
850 0.000126438218 16.0169674
860 0.000119425322 15.5213285
870 0.000112301974 14.9871479
880 0.000105435838 14.4391652
890 9.86120137e-05 13.8579966
900 0.000154029379 17.7314714
910 8.46234611e-05 12.5292158
920 7.76038828e-05 11.7770691
930 7.06870654e-05 10.9661991
940 6.29226143e-05 9.95553525
950 5.59309266e-05 8.93244037
960 4.93034432e-05 7.83694508
970 4.27818038e-05 6.60458192
980 3.81728445e-05 5.61449054
990 3.6065035e-05 5.12112725
1000 3.65632418e-05 5.24029397
1010 3.59925496e-05 5.10365233
1020 3.80944023e-05 5.59662336
1030 4.07070714e-05 6.17279726
1040 4.38475216e-05 6.81830109
1050 4.74291071e-05 7.50029905
1060 5.02288568e-05 7.99846596
1070 5.34040918e-05 8.53089076
1080 5.62616771e-05 8.98365356
1090 5.77254836e-05 9.20675168
1100 2.91972226e-05 3.28623092
1110 6.0983154e-05 9.68359772
1120 6.35964621e-05 10.0480592
1130 6.48827129e-05 10.2219801
1140 6.55656213e-05 10.3129237
1150 6.68920479e-05 10.4868899
1160 6.76505314e-05 10.5848243
1170 6.79928316e-05 10.6286626
1180 6.82055957e-05 10.6558002
1190 6.80792456e-05 10.6396948
1200 6.85050023e-05 10.6938458
1210 6.88439757e-05 10.7367189
1220 6.96611666e-05 10.8392149
1230 6.98069423e-05 10.8573724
1240 6.94031754e-05 10.8069869
1250 6.89496142e-05 10.7500369
1260 6.79422103e-05 10.6221935
1270 6.66734864e-05 10.4584634
1280 6.56899117e-05 10.3293736
1290 6.418825e-05 10.1285108
1300 3.55514236e-06 -15.00346
1310 5.95247116e-05 9.47334608
1320 5.763608e-05 9.1932888
1330 5.58284066e-05 8.91650474
1340 5.33001771e-05 8.51397312
1350 5.09722367e-05 8.12607392
1360 4.87976645e-05 7.74738083
1370 4.67150085e-05 7.36852874
1380 4.4930442e-05 7.03021391
1390 4.33127736e-05 6.71171999
1400 4.1831537e-05 6.40947652
1410 4.04904848e-05 6.12645961
1420 3.99052977e-05 6.00001119
1430 3.961151e-05 5.93582804
1440 3.956935e-05 5.92657841
1450 3.9681142e-05 5.95108333
1460 3.97368211e-05 5.96326251
1470 3.97366974e-05 5.96323546
1480 4.02292655e-05 6.07024215
1490 4.10173126e-05 6.23874413
1500 3.60555643e-05 5.11884604
1510 4.1362839e-05 6.31160689
1520 4.18563432e-05 6.41462575
1530 4.27314252e-05 6.59434764
1540 4.31794971e-05 6.68495168
1550 4.32973594e-05 6.70862831
1560 4.3510604e-05 6.75130232
1570 4.34174284e-05 6.73268201
1580 4.30851609e-05 6.66595447
1590 4.27322857e-05 6.59452255
1600 4.22938384e-05 6.50494212
1610 4.21914882e-05 6.48389698
1620 4.18545642e-05 6.41425657
1630 4.15583923e-05 6.35257486
1640 4.13047561e-05 6.29940132
1650 4.10694473e-05 6.24977725
1660 4.0844784e-05 6.20213215
1670 4.05423334e-05 6.1375749
1680 3.99508758e-05 6.00992617
1690 3.94378101e-05 5.89765591
1700 4.26214879e-05 6.57197222
1710 3.94386408e-05 5.89783886
1720 3.85224695e-05 5.69368249
1730 3.77999258e-05 5.52921904
1740 3.77931401e-05 5.52765963
1750 3.74632313e-05 5.45150477
1760 3.71690258e-05 5.38302365
1770 3.72771738e-05 5.40825966
1780 3.71706139e-05 5.38339477
1790 3.69160102e-05 5.32369524
1800 3.6844078e-05 5.30675394
1810 3.72300897e-05 5.39728173
1820 3.68301018e-05 5.30345848
