Freq p' spl
0 0.02370908 61.4776941
10 0.0236763097 61.4656803
20 0.0235755842 61.4286494
30 0.0234146472 61.3691525
40 0.0231982741 61.2885136
50 0.0229100992 61.1799395
60 0.0225712174 61.0504998
70 0.0221745502 60.8964965
80 0.0217233686 60.7179435
90 0.021206827 60.508914
100 0.754728331 91.5352131
110 0.0200774194 60.0335579
120 0.019468335 59.7659763
130 0.0187777457 59.4522692
140 0.0181146995 59.1400228
150 0.0174027656 58.7917655
160 0.0166836682 58.425231
170 0.0160011148 58.0624049
180 0.015269661 57.655988
190 0.0145519772 57.2378402
200 0.0138974713 56.8381158
210 0.0132518547 56.4249334
220 0.0125622496 55.9607485
230 0.0119609639 55.5347237
240 0.0114848606 55.1819147
250 0.010848283 54.6866202
260 0.0102547144 54.1978715
270 0.00999899331 53.9785256
280 0.00935384592 53.3992043
290 0.00827373206 52.3334291
300 0.00937581403 53.4195798
310 0.00865227832 52.7220097
320 0.00841116967 52.476528
330 0.00758999839 51.5842338
340 0.00719919993 51.1250848
350 0.00703777318 50.9281054
360 0.00652722985 50.2739782
370 0.00602322502 49.5759819
380 0.00579836385 49.2455094
390 0.00549253427 48.7748556
400 0.00501351212 47.9822415
410 0.00457108106 47.1797785
420 0.00435299397 46.7551614
430 0.00401079312 46.0440053
440 0.00352770954 44.9292565
450 0.00323326127 44.1722161
460 0.00302560424 43.5956425
470 0.00264497323 42.4278257
480 0.0022747549 41.1180923
490 0.00213690814 40.5751172
500 0.000753774787 31.5242322
510 0.00157046391 37.8999593
520 0.00117390437 35.3720545
530 0.000928435581 33.3344356
540 0.000751538396 31.4984236
550 0.000520087825 28.3009338
560 0.000256419126 22.1584084
570 0.00010496695 14.4004517
580 0.000226888148 21.0956363
590 0.000458690167 27.2097887
600 0.000698200113 30.8589984
610 0.000836225828 32.4258716
620 0.000963158615 33.6533564
630 0.00112253062 34.983364
640 0.00127919427 36.1181302
650 0.00140361931 36.9243868
660 0.00151434373 37.5838893
670 0.00162314974 38.1865718
680 0.00171714545 38.6755418
690 0.00177831737 38.9795855
700 0.00406709837 46.1650936
710 0.00189661375 39.538978
720 0.00192621919 39.6735142
730 0.00192234938 39.6560465
740 0.00190466847 39.5757879
750 0.00188575627 39.4891113
760 0.00185319137 39.3378055
770 0.00179682969 39.0695384
780 0.0017320312 38.7505143
790 0.00166291428 38.3967973
800 0.00157963608 37.950541
810 0.00148490965 37.4134007
820 0.00140065746 36.9060389
830 0.00132437298 36.4196063
840 0.00124412663 35.8766918
850 0.00116460277 35.3029564
860 0.00109216212 34.7451423
870 0.00101939617 34.1462601
880 0.000947182122 33.5080699
890 0.000875549187 32.8250111
900 0.00149451592 37.469411
910 0.000746313307 31.4378238
920 0.000680067618 30.630442
