Time;Y;Vy;Fy
5.99952e-06;-1.026814e-12;-3.422984e-07;-0.00461938
1.319851e-05;-6.554392e-12;-1.193354e-06;-0.00957154
2.183668e-05;-1.367886e-11;-4.561792e-07;0.006909431
3.220141e-05;-1.920863e-11;-6.108562e-07;-0.001208279
4.463831e-05;-2.685524e-11;-6.188092e-07;-5.178971e-05
5.956147e-05;-3.499467e-11;-4.720357e-07;0.0007962956
7.746874e-05;-4.36132e-11;-4.905381e-07;-8.366738e-05
9.895283e-05;-5.383497e-11;-4.610286e-07;0.0001111972
0.0001247271;-6.525774e-11;-4.253414e-07;0.0001120928
0.0001556482;-7.824134e-11;-4.144466e-07;2.851661e-05
0.0001927513;-9.323035e-11;-3.935197e-07;4.565554e-05
0.0002372684;-1.103587e-10;-3.75997e-07;3.185915e-05
0.0002906745;-1.300577e-10;-3.617106e-07;2.164891e-05
0.0003547551;-1.527461e-10;-3.464096e-07;1.932321e-05
0.0004316418;-1.788435e-10;-3.324446e-07;1.469663e-05
0.0005238348;-2.088769e-10;-3.190875e-07;1.172155e-05
0.0006343638;-2.434441e-10;-3.063994e-07;9.285563e-06
0.0007668514;-2.832326e-10;-2.942377e-07;7.423638e-06
0.0009256244;-3.290213e-10;-2.825451e-07;5.954115e-06
0.001115786;-3.816901e-10;-2.713908e-07;4.740737e-06
0.00134363;-4.422999e-10;-2.606389e-07;3.812327e-06
0.001616916;-5.120893e-10;-2.501029e-07;3.113e-06
0.001943771;-5.92151e-10;-2.39789e-07;2.546342e-06
0.002334433;-6.83967e-10;-2.302638e-07;1.965434e-06
0.002801732;-7.893494e-10;-2.207629e-07;1.637256e-06
0.003357151;-9.092299e-10;-2.109121e-07;1.426796e-06
0.00399717;-1.041124e-09;-2.012439e-07;1.213557e-06
0.004724464;-1.185198e-09;-1.949454e-07;6.912137e-07
0.005538785;-1.340977e-09;-1.876512e-07;7.147672e-07
0.0064216;-1.50327e-09;-1.800168e-07;6.891378e-07
0.007304415;-1.659549e-09;-1.740275e-07;5.376981e-07
0.00818723;-1.814015e-09;-1.759077e-07;-1.846872e-07
0.009070045;-1.968541e-09;-1.741641e-07;1.469426e-07
0.00995286;-2.122523e-09;-1.746752e-07;-6.053493e-08
0.01083568;-2.277858e-09;-1.772283e-07;-2.485538e-07
0.01171849;-2.435165e-09;-1.79143e-07;-1.907772e-07
0.01260131;-2.594715e-09;-1.823094e-07;-3.06363e-07
0.01348412;-2.757161e-09;-1.857042e-07;-3.281288e-07
0.01436694;-2.922654e-09;-1.892143e-07;-3.395468e-07
0.01524975;-3.09115e-09;-1.925042e-07;-3.202006e-07
0.01613257;-3.262617e-09;-1.95947e-07;-3.35094e-07
0.01701538;-3.437191e-09;-1.995407e-07;-3.498128e-07
0.0178982;-3.614928e-09;-2.031152e-07;-3.489481e-07
0.01878101;-3.79614e-09;-2.074105e-07;-4.159695e-07
0.01966383;-3.981011e-09;-2.114068e-07;-3.89492e-07
0.02054664;-4.169783e-09;-2.162471e-07;-4.678691e-07
0.02142946;-4.363137e-09;-2.217868e-07;-5.330173e-07
0.02231227;-4.563822e-09;-2.328546e-07;-1.041114e-06
0.02319509;-4.775682e-09;-2.471027e-07;-1.334035e-06
0.02406787;-4.990244e-09;-2.445661e-07;2.068555e-07
0.02494065;-5.216699e-09;-2.743513e-07;-2.792826e-06
0.02581344;-5.448023e-09;-2.557274e-07;1.696653e-06
0.02668622;-5.677131e-09;-2.692722e-07;-1.288465e-06
0.027559;-5.914266e-09;-2.741202e-07;-4.830172e-07
0.02843179;-6.148702e-09;-2.6309e-07;9.889274e-07
0.02930457;-6.382471e-09;-2.725897e-07;-9.165919e-07
0.03016671;-6.622739e-09;-2.847802e-07;-1.181525e-06
0.03102885;-6.875637e-09;-3.018851e-07;-1.64453e-06
0.03189099;-7.136698e-09;-3.037224e-07;-2.12151e-07
0.03275313;-7.392395e-09;-2.89441e-07;1.300515e-06
0.03361527;-7.638551e-09;-2.815876e-07;6.959813e-07
0.0344774;-7.886838e-09;-2.943837e-07;-1.24442e-06
0.03533954;-8.142608e-09;-2.98949e-07;-4.728371e-07
0.03620168;-8.40088e-09;-3.001853e-07;-1.614564e-07
0.03706382;-8.655412e-09;-2.902764e-07;8.841112e-07
0.03791431;-8.90618e-09;-2.994185e-07;-9.178923e-07
0.0387648;-9.158038e-09;-2.928425e-07;5.772421e-07
0.03961529;-9.401419e-09;-2.794873e-07;1.2217e-06
0.04046578;-9.635428e-09;-2.708008e-07;7.764142e-07
0.04131627;-9.862184e-09;-2.624313e-07;7.453921e-07
0.04216676;-1.008321e-08;-2.573161e-07;4.347276e-07
0.04301725;-1.030351e-08;-2.607407e-07;-3.792237e-07
0.04386773;-1.052365e-08;-2.569276e-07;3.087649e-07
0.04471822;-1.073902e-08;-2.49541e-07;6.480817e-07
0.04555583;-1.093942e-08;-2.28959e-07;1.933771e-06
0.04639343;-1.112117e-08;-2.050069e-07;2.259196e-06
0.04723103;-1.128768e-08;-1.92582e-07;1.144601e-06
0.04806863;-1.145169e-08;-1.99034e-07;-6.807504e-07
0.04890624;-1.161996e-08;-2.027559e-07;-4.177461e-07
0.04974384;-1.177579e-08;-1.693382e-07;3.171821e-06
0.05058144;-1.192283e-08;-1.817547e-07;-1.258998e-06
0.05141904;-1.208424e-08;-2.036303e-07;-2.174459e-06
0.05225665;-1.226432e-08;-2.263712e-07;-2.259435e-06
0.05307981;-1.245155e-08;-2.285079e-07;-2.725653e-07
0.05390297;-1.2634e-08;-2.147976e-07;1.285378e-06
0.05472613;-1.280925e-08;-2.109949e-07;3.102864e-07
0.05554929;-1.298118e-08;-2.067254e-07;3.555037e-07
0.05637245;-1.314788e-08;-1.982909e-07;7.645409e-07
0.05719561;-1.330909e-08;-1.933906e-07;4.163259e-07
0.05801878;-1.346457e-08;-1.843748e-07;8.205562e-07
0.05884194;-1.361736e-08;-1.868385e-07;-3.091664e-07
0.05964896;-1.377831e-08;-2.120429e-07;-2.596512e-06
0.06045598;-1.395591e-08;-2.280834e-07;-1.678429e-06
0.061263;-1.413372e-08;-2.125767e-07;1.485695e-06
0.06207002;-1.43025e-08;-2.056913e-07;6.202425e-07
0.06287704;-1.445411e-08;-1.700471e-07;3.505227e-06
0.06368406;-1.457273e-08;-1.239332e-07;4.555964e-06
0.06447354;-1.465926e-08;-9.527382e-08;2.869192e-06
0.06526302;-1.472239e-08;-6.46521e-08;3.070809e-06
0.06605249;-1.477711e-08;-7.395697e-08;-1.023824e-06
0.06684197;-1.484153e-08;-8.923434e-08;-1.6369e-06
0.06763145;-1.491098e-08;-8.670218e-08;1.890711e-07
0.06842092;-1.498086e-08;-9.032608e-08;-4.425901e-07
