Time;Y;Vy;Fy
5.99952e-06;2.404424e-14;8.015381e-09;0.000108169
1.319851e-05;-1.031375e-12;-3.012281e-07;-0.003477957
2.183668e-05;-2.8602e-12;-1.222009e-07;0.001677996
3.220141e-05;-4.233022e-12;-1.427017e-07;-0.0001601462
4.463831e-05;-6.314835e-12;-1.920782e-07;-0.0003214465
5.956147e-05;-9.011947e-12;-1.693883e-07;0.0001230983
7.746874e-05;-1.218241e-11;-1.847098e-07;-6.927808e-05
9.895283e-05;-1.624602e-11;-1.935798e-07;-3.343176e-05
0.0001247271;-2.123162e-11;-1.932869e-07;9.153426e-07
0.0001556482;-2.730366e-11;-1.994567e-07;-1.616006e-05
0.0001927513;-3.477525e-11;-2.032911e-07;-8.372289e-06
0.0002372684;-4.388366e-11;-2.059188e-07;-4.784335e-06
0.0002906745;-5.497623e-11;-2.094851e-07;-5.411852e-06
0.0003547551;-6.849187e-11;-2.123479e-07;-3.622442e-06
0.0004316418;-8.492551e-11;-2.151284e-07;-2.933586e-06
0.0005238348;-1.048882e-10;-2.179358e-07;-2.471109e-06
0.0006343638;-1.291486e-10;-2.210493e-07;-2.286591e-06
0.0007668514;-1.586589e-10;-2.244319e-07;-2.073235e-06
0.0009256244;-1.94581e-10;-2.280634e-07;-1.85815e-06
0.001115786;-2.383255e-10;-2.320125e-07;-1.688e-06
0.00134363;-2.917168e-10;-2.366532e-07;-1.655978e-06
0.001616916;-3.570875e-10;-2.417503e-07;-1.517393e-06
0.001943771;-4.369856e-10;-2.471404e-07;-1.342939e-06
0.002334433;-5.348169e-10;-2.537067e-07;-1.369205e-06
0.002801732;-6.550203e-10;-2.607509e-07;-1.229473e-06
0.003357151;-8.018665e-10;-2.680228e-07;-1.069817e-06
0.00399717;-9.754656e-10;-2.744547e-07;-8.243349e-07
0.004724464;-1.178169e-09;-2.829589e-07;-9.584508e-07
0.005538785;-1.411787e-09;-2.908092e-07;-7.934483e-07
0.0064216;-1.67027e-09;-2.947718e-07;-3.776348e-07
0.007304415;-1.930558e-09;-2.948973e-07;-2.696402e-08
0.00818723;-2.195757e-09;-3.058978e-07;-1.02567e-06
0.009070045;-2.466761e-09;-3.080488e-07;-2.154701e-07
0.00995286;-2.740078e-09;-3.111392e-07;-3.029321e-07
0.01083568;-3.016707e-09;-3.155517e-07;-4.25547e-07
0.01171849;-3.296707e-09;-3.187749e-07;-3.178492e-07
0.01260131;-3.57958e-09;-3.220596e-07;-3.248605e-07
0.01348412;-3.865434e-09;-3.255296e-07;-3.432455e-07
0.01436694;-4.154093e-09;-3.284145e-07;-2.909817e-07
0.01524975;-4.445531e-09;-3.318236e-07;-3.404728e-07
0.01613257;-4.739548e-09;-3.342586e-07;-2.525573e-07
0.01701538;-5.035596e-09;-3.364253e-07;-2.293679e-07
0.0178982;-5.333526e-09;-3.38522e-07;-2.243592e-07
