Time;Y;Vy;Fy
5.99988e-06;-5.498045e-13;-1.832718e-07;-0.002473136
1.319991e-05;4.378364e-12;1.552202e-06;0.01951546
2.183957e-05;7.946769e-12;-7.261498e-07;-0.02135103
3.220752e-05;2.605522e-12;-3.041881e-07;0.003295147
4.464906e-05;-4.210648e-13;-1.823411e-07;0.0007929313
5.957892e-05;-5.63653e-12;-5.163216e-07;-0.001811175
7.749581e-05;-1.386001e-11;-4.016372e-07;0.0005182466
9.899839e-05;-2.275512e-11;-4.257149e-07;-9.066063e-05
0.0001247993;-3.438465e-11;-4.757686e-07;-0.0001570715
0.0001557587;-4.885318e-11;-4.589073e-07;4.409511e-05
0.0001929032;-6.614369e-11;-4.720805e-07;-2.871411e-05
0.0002374798;-8.734645e-11;-4.792143e-07;-1.295737e-05
0.0002909718;-1.129114e-10;-4.766284e-07;3.913495e-06
0.0003551759;-1.435371e-10;-4.77383e-07;-9.522006e-07
0.0004322407;-1.802056e-10;-4.74243e-07;3.298127e-06
0.0005246899;-2.237901e-10;-4.686418e-07;4.904455e-06
0.0006355877;-2.754001e-10;-4.621267e-07;4.755415e-06
0.0007686056;-3.362936e-10;-4.534412e-07;5.285246e-06
0.0009281416;-4.077795e-10;-4.427305e-07;5.433925e-06
0.0011194;-4.913142e-10;-4.307965e-07;5.049901e-06
0.001348821;-5.88564e-10;-4.169861e-07;4.871301e-06
0.001624383;-7.013074e-10;-4.012929e-07;4.607962e-06
0.001954503;-8.308831e-10;-3.837288e-07;4.304206e-06
0.002349848;-9.78814e-10;-3.646332e-07;3.906507e-06
0.002823877;-1.146427e-09;-3.425473e-07;3.767384e-06
0.003385589;-1.331502e-09;-3.164169e-07;3.760689e-06
0.004034008;-1.527787e-09;-2.890078e-07;3.415825e-06
0.004772208;-1.731269e-09;-2.622789e-07;2.924057e-06
0.005600276;-1.93612e-09;-2.324845e-07;2.904688e-06
0.006490839;-2.132216e-09;-2.078966e-07;2.225991e-06
0.007381403;-2.307117e-09;-1.848864e-07;2.0817e-06
0.008271966;-2.464906e-09;-1.694677e-07;1.390777e-06
0.009162529;-2.606604e-09;-1.487495e-07;1.871882e-06
0.01005309;-2.731559e-09;-1.318668e-07;1.52257e-06
0.01094366;-2.842538e-09;-1.173635e-07;1.305707e-06
0.01183422;-2.940804e-09;-1.033181e-07;1.263591e-06
0.01272478;-3.027439e-09;-9.123984e-08;1.084337e-06
0.01361535;-3.104012e-09;-8.072443e-08;9.418748e-07
0.01450591;-3.171009e-09;-6.973358e-08;9.847674e-07
0.01539647;-3.229537e-09;-6.170433e-08;7.152323e-07
0.01628704;-3.280822e-09;-5.347002e-08;7.336215e-07
0.0171776;-3.324113e-09;-4.374899e-08;8.68566e-07
0.01806816;-3.359682e-09;-3.612962e-08;6.773157e-07
0.01895873;-3.387921e-09;-2.728772e-08;7.883135e-07
0.01984929;-3.408e-09;-1.780577e-08;8.463909e-07
0.02073985;-3.42017e-09;-9.523818e-09;7.372215e-07
0.02162052;-3.421762e-09;5.908261e-09;1.402992e-06
0.02250119;-3.402504e-09;3.782725e-08;2.918746e-06
0.02338186;-3.358396e-09;6.233959e-08;2.237966e-06
0.02426253;-3.286897e-09;1.000348e-07;3.450186e-06
0.0251432;-3.183288e-09;1.352584e-07;3.223371e-06
0.02602386;-3.059109e-09;1.467498e-07;1.042087e-06
0.02690453;-2.929013e-09;1.486961e-07;1.651562e-07
0.02777472;-2.786969e-09;1.777698e-07;2.691918e-06
0.0286449;-2.627003e-09;1.898845e-07;1.114712e-06
0.02951508;-2.47161e-09;1.672624e-07;-2.116536e-06
0.03038527;-2.321942e-09;1.767262e-07;8.695047e-07
0.03125545;-2.185505e-09;1.368509e-07;-3.720458e-06
0.03212564;-2.073563e-09;1.204305e-07;-1.537586e-06
0.03299582;-1.965025e-09;1.290271e-07;7.905469e-07
0.03386601;-1.864579e-09;1.018296e-07;-2.539319e-06
0.03473619;-1.788453e-09;7.313424e-08;-2.67828e-06
0.03560637;-1.727053e-09;6.798357e-08;-4.873187e-07
0.03646496;-1.671902e-09;6.04849e-08;-7.149424e-07
0.03732354;-1.628503e-09;4.060857e-08;-1.88192e-06
0.03818212;-1.600216e-09;2.528242e-08;-1.452676e-06
0.0390407;-1.584869e-09;1.046691e-08;-1.404423e-06
0.03989928;-1.582684e-09;-5.377608e-09;-1.501418e-06
0.04075786;-1.592823e-09;-1.823938e-08;-1.220165e-06
0.04161645;-1.614153e-09;-3.14462e-08;-1.252775e-06
0.04247503;-1.63992e-09;-2.857512e-08;2.632523e-07
0.04333361;-1.665714e-09;-3.151059e-08;-2.844201e-07
0.04419219;-1.694038e-09;-3.446618e-08;-2.864426e-07
0.04505077;-1.723412e-09;-3.395937e-08;3.992769e-08
0.04590935;-1.757523e-09;-4.54989e-08;-1.096182e-06
0.04676794;-1.801288e-09;-5.644543e-08;-1.04044e-06
0.04761289;-1.850846e-09;-6.085863e-08;-4.31279e-07
0.04845784;-1.905797e-09;-6.920788e-08;-8.086733e-07
0.0493028;-1.966298e-09;-7.399536e-08;-4.676494e-07
0.05014775;-2.032769e-09;-8.334122e-08;-9.04727e-07
0.0509927;-2.109566e-09;-9.843486e-08;-1.45581e-06
0.05183766;-2.204429e-09;-1.261035e-07;-2.661146e-06
0.05268261;-2.31875e-09;-1.444905e-07;-1.772259e-06
0.05352756;-2.418193e-09;-9.088752e-08;5.125355e-06
0.05435743;-2.495785e-09;-9.610912e-08;-5.20742e-07
0.05518729;-2.577297e-09;-1.003356e-07;-4.2402e-07
0.05601716;-2.657097e-09;-9.198249e-08;8.029035e-07
0.05684702;-2.735184e-09;-9.620872e-08;-4.247311e-07
0.05767689;-2.816024e-09;-9.861617e-08;-2.476522e-07
0.05850675;-2.891099e-09;-8.23155e-08;1.577201e-06
0.05933662;-2.955742e-09;-7.347464e-08;8.490813e-07
0.06016648;-3.016255e-09;-7.236239e-08;9.476962e-08
0.06097941;-3.063488e-09;-4.384067e-08;2.826634e-06
0.06179234;-3.091984e-09;-2.626379e-08;1.736406e-06
0.06260527;-3.107035e-09;-1.076603e-08;1.529235e-06
0.0634182;-3.11297e-09;-3.834151e-09;6.760673e-07
0.06423113;-3.116329e-09;-4.429754e-09;-7.365505e-08
0.06504406;-3.119391e-09;-3.105007e-09;1.175877e-07
0.06585698;-3.122929e-09;-5.599696e-09;-2.628248e-07
0.06665101;-3.134019e-09;-2.233168e-08;-1.720501e-06
0.06744503;-3.159594e-09;-4.208754e-08;-2.02892e-06
0.06823906;-3.206478e-09;-7.600388e-08;-3.472982e-06
