Time;Y;Vy;Fy
5.99988e-06;-5.498045e-13;-1.832718e-07;-0.002473136
1.319991e-05;3.599938e-12;1.335973e-06;0.01708396
2.183957e-05;9.563493e-12;4.453319e-08;-0.01210243
3.220752e-05;1.09872e-11;2.301026e-07;0.001449133
4.464906e-05;1.387085e-11;2.33449e-07;2.177713e-05
5.957892e-05;1.529311e-11;-4.292329e-08;-0.001498766
7.749581e-05;1.462844e-11;-3.127125e-08;5.265437e-05
9.899839e-05;1.332463e-11;-8.999887e-08;-0.0002211294
0.0001247993;1.011596e-11;-1.58727e-07;-0.0002156725
0.0001557587;4.870457e-12;-1.801355e-07;-5.598704e-05
0.0001929032;-2.471226e-12;-2.151691e-07;-7.636342e-05
0.0002374798;-1.268287e-11;-2.42992e-07;-5.053476e-05
0.0002909718;-2.616495e-11;-2.610869e-07;-2.738823e-05
0.0003551759;-4.348354e-11;-2.783982e-07;-2.183058e-05
0.0004322407;-6.540737e-11;-2.905729e-07;-1.279105e-05
0.0005246899;-9.264146e-11;-2.98596e-07;-7.026777e-06
0.0006355877;-1.260511e-10;-3.039348e-07;-3.898252e-06
0.0007686056;-1.665877e-10;-3.055544e-07;-9.865134e-07
0.0009281416;-2.152225e-10;-3.041493e-07;7.122112e-07
0.0011194;-2.729917e-10;-2.99946e-07;1.778245e-06
0.001348821;-3.40969e-10;-2.926512e-07;2.572976e-06
0.001624383;-4.201664e-10;-2.821547e-07;3.082292e-06
0.001954503;-5.110946e-10;-2.68725e-07;3.291608e-06
0.002349848;-6.13964e-10;-2.516771e-07;3.488706e-06
0.002823877;-7.283005e-10;-2.307237e-07;3.575755e-06
0.003385589;-8.505718e-10;-2.046267e-07;3.757947e-06
0.004034008;-9.739737e-10;-1.759947e-07;3.570902e-06
0.004772208;-1.092842e-09;-1.460507e-07;3.279429e-06
0.005600276;-1.200182e-09;-1.13202e-07;3.206474e-06
0.006490839;-1.289763e-09;-8.797388e-08;2.287833e-06
0.007381403;-1.357526e-09;-6.420245e-08;2.155035e-06
0.008271966;-1.405295e-09;-4.307515e-08;1.914384e-06
0.009162529;-1.43301e-09;-1.916501e-08;2.167206e-06
0.01005309;-1.440572e-09;2.182881e-09;1.934184e-06
0.01094366;-1.429949e-09;2.167367e-08;1.765356e-06
0.01183422;-1.402326e-09;4.036061e-08;1.692364e-06
0.01272478;-1.35881e-09;5.736511e-08;1.539573e-06
0.01361535;-1.300889e-09;7.270976e-08;1.388904e-06
0.01450591;-1.229193e-09;8.830222e-08;1.411732e-06
0.01539647;-1.144869e-09;1.010689e-07;1.155186e-06
0.01628704;-1.049154e-09;1.138819e-07;1.159825e-06
0.0171776;-9.41291e-10;1.283511e-07;1.310847e-06
0.01806816;-8.215598e-10;1.405346e-07;1.103586e-06
0.01895873;-6.903499e-10;1.541293e-07;1.232448e-06
0.01984929;-5.46717e-10;1.684337e-07;1.297612e-06
0.02073985;-3.908067e-10;1.81701e-07;1.204003e-06
0.02162052;-2.226976e-10;2.000712e-07;1.68744e-06
0.02250119;-2.920498e-11;2.393467e-07;3.610189e-06
0.02338186;1.936335e-10;2.667148e-07;2.516443e-06
0.02426253;4.471839e-10;3.09093e-07;3.897486e-06
0.0251432;7.376098e-10;3.504583e-07;3.805619e-06
0.02602386;1.057744e-09;3.765599e-07;2.40377e-06
0.02690453;1.395276e-09;3.899667e-07;1.238186e-06
0.02777472;1.733711e-09;3.878727e-07;-1.876299e-07
0.0286449;2.083729e-09;4.165874e-07;2.68046e-06
0.02951508;2.442202e-09;4.073045e-07;-8.53284e-07
0.03038527;2.796522e-09;4.070453e-07;-1.205865e-08
0.03125545;3.145125e-09;3.94162e-07;-1.185014e-06
0.03212564;3.482871e-09;3.820915e-07;-1.107811e-06
0.03299582;3.816818e-09;3.854335e-07;3.277466e-07
0.03386601;4.148805e-09;3.775837e-07;-7.120314e-07
0.03473619;4.469931e-09;3.604725e-07;-1.572224e-06
0.03560637;4.78058e-09;3.535054e-07;-6.269425e-07
0.03647656;5.086721e-09;3.501101e-07;-2.931974e-07
0.03733498;5.380328e-09;3.339421e-07;-1.500822e-06
