Time;Y;Vy;Fy
5.99988e-06;3.19188e-12;1.063981e-06;0.01435774
1.319991e-05;4.244742e-12;-7.715206e-07;-0.02064027
2.183957e-05;4.076069e-13;-1.167399e-07;0.006136122
3.220752e-05;-7.350468e-13;-1.036804e-07;0.0001019829
4.464906e-05;-3.548218e-12;-3.485418e-07;-0.001593459
5.957892e-05;-7.756636e-12;-2.152173e-07;0.0007230184
7.749581e-05;-1.192189e-11;-2.497357e-07;-0.0001559855
9.899839e-05;-1.762986e-11;-2.81174e-07;-0.0001183759
0.0001247993;-2.467719e-11;-2.651121e-07;5.040319e-05
0.0001557587;-3.31471e-11;-2.820495e-07;-4.429453e-05
0.0001929032;-4.377886e-11;-2.904057e-07;-1.821429e-05
0.0002374798;-5.679876e-11;-2.937523e-07;-6.078668e-06
0.0002909718;-7.272859e-11;-3.018449e-07;-1.224916e-05
0.0003551759;-9.226543e-11;-3.0674e-07;-6.17331e-06
0.0004322407;-1.160577e-10;-3.107204e-07;-4.182355e-06
0.0005246899;-1.44979e-10;-3.149487e-07;-3.703599e-06
0.0006355877;-1.800811e-10;-3.181056e-07;-2.305542e-06
0.0007686056;-2.225382e-10;-3.202607e-07;-1.312681e-06
0.0009281416;-2.73821e-10;-3.226387e-07;-1.208004e-06
0.0011194;-3.356599e-10;-3.240132e-07;-5.832545e-07
0.001348821;-4.101202e-10;-3.251008e-07;-3.855231e-07
0.001624383;-4.998108e-10;-3.258632e-07;-2.261135e-07
0.001954503;-6.072062e-10;-3.247814e-07;2.627867e-07
0.002349848;-7.354272e-10;-3.238715e-07;1.832467e-07
0.002823877;-8.883683e-10;-3.214067e-07;4.172531e-07
0.003385589;-1.067551e-09;-3.165772e-07;6.916093e-07
0.004034008;-1.271006e-09;-3.109613e-07;6.958442e-07
0.004772208;-1.498745e-09;-3.060455e-07;5.327807e-07
0.005600276;-1.749201e-09;-2.988657e-07;6.94519e-07
0.006490839;-2.012023e-09;-2.913661e-07;6.731533e-07
0.007381403;-2.268069e-09;-2.836474e-07;6.918786e-07
0.008271966;-2.520218e-09;-2.82614e-07;8.293346e-08
0.009162529;-2.768126e-09;-2.741241e-07;7.596706e-07
0.01005309;-3.010105e-09;-2.692982e-07;4.254402e-07
0.01094366;-3.247428e-09;-2.636684e-07;4.974149e-07
0.01183422;-3.480767e-09;-2.603517e-07;2.860484e-07
0.01272478;-3.70885e-09;-2.51865e-07;7.550066e-07
0.01361535;-3.932705e-09;-2.508547e-07;7.426039e-08
0.01450591;-4.155623e-09;-2.497618e-07;8.074163e-08
0.01539647;-4.379001e-09;-2.51889e-07;-2.130315e-07
0.01628704;-4.598083e-09;-2.401119e-07;1.050035e-06
0.0171776;-4.814946e-09;-2.46907e-07;-6.394299e-07
0.01806816;-5.046327e-09;-2.727166e-07;-2.369117e-06
0.01894915;-5.297747e-09;-2.98045e-07;-2.351506e-06
0.01983014;-5.572631e-09;-3.25985e-07;-2.592733e-06
0.02071113;-5.885926e-09;-3.852443e-07;-5.472355e-06
0.02159211;-6.236181e-09;-4.098889e-07;-2.292761e-06
0.0224731;-6.602946e-09;-4.227245e-07;-1.20916e-06
0.02335409;-6.985711e-09;-4.462108e-07;-2.189688e-06
0.02423508;-7.385358e-09;-4.610504e-07;-1.39684e-06
0.02510594;-7.798293e-09;-4.872777e-07;-2.473287e-06
0.0259768;-8.223677e-09;-4.896376e-07;-2.562725e-07
0.02684766;-8.641517e-09;-4.699552e-07;1.791052e-06
0.02771852;-9.046423e-09;-4.599309e-07;8.912513e-07
0.02858938;-9.429682e-09;-4.202434e-07;3.647212e-06
0.02946024;-9.774224e-09;-3.710155e-07;4.532507e-06
0.0303311;-1.007087e-08;-3.102575e-07;5.602981e-06
0.03120197;-1.032201e-08;-2.664967e-07;4.021494e-06
0.03207283;-1.054118e-08;-2.368301e-07;2.710076e-06
0.03294369;-1.073619e-08;-2.110093e-07;2.351587e-06
0.03381455;-1.091608e-08;-2.02134e-07;7.752991e-07
0.03468541;-1.108781e-08;-1.922416e-07;8.690547e-07
0.03555627;-1.125783e-08;-1.982125e-07;-6.065395e-07
0.03642713;-1.140716e-08;-1.447509e-07;4.918148e-06
0.03729799;-1.150931e-08;-8.983251e-08;5.053006e-06
0.03816886;-1.157352e-08;-5.763881e-08;2.939915e-06
0.03903972;-1.159548e-08;7.217962e-09;5.976392e-06
0.03989831;-1.155625e-08;8.415352e-08;7.201575e-06
0.04075691;-1.144972e-08;1.640048e-07;7.476852e-06
0.0416155;-1.129035e-08;2.072306e-07;4.023773e-06
0.0424741;-1.109605e-08;2.453619e-07;3.544179e-06
0.04333269;-1.087065e-08;2.796781e-07;3.185382e-06
0.04419129;-1.061393e-08;3.183007e-07;3.592592e-06
0.04504989;-1.032009e-08;3.66169e-07;4.465692e-06
0.04590848;-9.995791e-09;3.892414e-07;2.128923e-06
0.04676708;-9.652706e-09;4.099274e-07;1.905434e-06
0.04762567;-9.286727e-09;4.425703e-07;3.034563e-06
0.04847042;-8.900307e-09;4.722985e-07;2.807406e-06
0.04931517;-8.485723e-09;5.092482e-07;3.501389e-06
0.05015991;-8.040449e-09;5.449613e-07;3.384844e-06
0.05100466;-7.563545e-09;5.841313e-07;3.718284e-06
0.05184941;-7.050166e-09;6.313187e-07;4.488988e-06
0.05267959;-6.511418e-09;6.665718e-07;3.406851e-06
0.05350977;-5.938054e-09;7.147121e-07;4.666248e-06
0.05433996;-5.332164e-09;7.449272e-07;2.920797e-06
0.05517014;-4.696378e-09;7.867353e-07;4.054258e-06
0.05600032;-4.023202e-09;8.350033e-07;4.687286e-06
0.0568305;-3.311189e-09;8.802982e-07;4.400515e-06
0.05764502;-2.585837e-09;9.007415e-07;2.018509e-06
0.05845954;-1.846597e-09;9.14399e-07;1.347366e-06
0.05927406;-1.088239e-09;9.476841e-07;3.30181e-06
0.06008858;-3.050744e-10;9.753098e-07;2.742806e-06
0.0609031;5.053047e-10;1.014507e-06;3.896698e-06
0.06171762;1.339267e-09;1.033217e-06;1.863993e-06
0.06253214;2.19278e-09;1.062511e-06;2.920036e-06
0.06334665;3.076778e-09;1.108071e-06;4.540805e-06
0.06416117;4.002121e-09;1.16403e-06;5.578659e-06
0.06495759;4.927854e-09;1.160689e-06;-3.190596e-07
0.06575401;5.867122e-09;1.198019e-06;3.819805e-06
0.06655043;6.820336e-09;1.195711e-06;-2.054886e-07
0.06734685;7.782948e-09;1.221621e-06;2.667591e-06
0.06814326;8.777384e-09;1.275627e-06;5.528427e-06
0.06893968;9.814522e-09;1.328855e-06;5.453921e-06
0.06971619;1.085206e-08;1.34343e-06;1.567259e-06
0.0704927;1.192091e-08;1.409512e-06;6.942551e-06
0.07126921;1.301895e-08;1.418631e-06;1.00816e-06
0.07204571;1.411859e-08;1.413594e-06;-4.627461e-07
0.07282222;1.523673e-08;1.466309e-06;5.564022e-06
0.07359873;1.638448e-08;1.48985e-06;2.527259e-06
0.07437524;1.754789e-08;1.506638e-06;1.828601e-06
0.07512891;1.867949e-08;1.496241e-06;-1.033568e-06
0.07588258;1.983034e-08;1.557725e-06;6.693637e-06
0.07663625;2.099897e-08;1.54344e-06;-1.440645e-06
0.07738992;2.216281e-08;1.544983e-06;2.650263e-07
0.07814359;2.332353e-08;1.535191e-06;-9.472098e-07
0.07889726;2.448685e-08;1.551854e-06;1.900043e-06
0.07962494;2.561358e-08;1.544894e-06;-6.590882e-07
0.08035262;2.673848e-08;1.546822e-06;3.350486e-07
0.0810803;2.785253e-08;1.515089e-06;-3.405037e-06
0.08180798;2.895944e-08;1.527192e-06;1.477269e-06
0.08253566;3.00694e-08;1.523452e-06;-2.802054e-07
0.08326334;3.11558e-08;1.462436e-06;-6.647917e-06
0.0839607;3.216434e-08;1.429992e-06;-3.621082e-06
0.08465806;3.317283e-08;1.462315e-06;3.903086e-06
0.08535542;3.417902e-08;1.423356e-06;-4.368164e-06
0.08605278;3.516164e-08;1.394754e-06;-3.161148e-06
0.08675014;3.61017e-08;1.301267e-06;-1.068986e-05
0.08744751;3.697473e-08;1.202521e-06;-1.129628e-05
0.08814487;3.777413e-08;1.090116e-06;-1.287824e-05
0.08880348;3.842562e-08;8.882119e-07;-2.464475e-05
0.0894621;3.901478e-08;9.008664e-07;1.733834e-06
0.09012072;3.957706e-08;8.0656e-07;-1.141223e-05
0.09077934;4.007381e-08;7.018973e-07;-1.268289e-05
0.09143796;4.051233e-08;6.297484e-07;-8.683814e-06
0.09209658;4.088879e-08;5.134152e-07;-1.411351e-05
0.0927552;4.118484e-08;3.855857e-07;-1.552522e-05
0.09341381;4.14086e-08;2.93891e-07;-1.108196e-05
0.09407243;4.156883e-08;1.926476e-07;-1.22549e-05
0.09473105;4.167638e-08;1.339674e-07;-7.021984e-06
0.09538967;4.170446e-08;-4.87083e-08;-2.226445e-05
0.09604829;4.163913e-08;-1.496887e-07;-1.222172e-05
0.09670691;4.14544e-08;-4.112707e-07;-3.196508e-05
0.09736553;4.1156e-08;-4.948573e-07;-1.00852e-05
0.09802414;4.081628e-08;-5.367413e-07;-4.960147e-06
0.09868276;4.043608e-08;-6.178041e-07;-9.778064e-06
0.09934138;3.998097e-08;-7.641902e-07;-1.78102e-05
0.1;3.944691e-08;-8.575663e-07;-1.129594e-05
0.1005952;3.890227e-08;-9.72427e-07;-1.544301e-05
0.1011869;3.826625e-08;-1.177373e-06;-2.786598e-05
0.1017716;3.755602e-08;-1.252021e-06;-1.016231e-05
0.1023529;3.679177e-08;-1.377726e-06;-1.733919e-05
0.1029273;3.595473e-08;-1.536761e-06;-2.224956e-05
0.1034983;3.506605e-08;-1.575859e-06;-5.380176e-06
0.1040659;3.413287e-08;-1.711948e-06;-1.925089e-05
0.1046302;3.315763e-08;-1.744404e-06;-4.501745e-06
0.105188;3.217666e-08;-1.773381e-06;-4.056196e-06
0.1057392;3.118147e-08;-1.837367e-06;-9.252343e-06
0.1062841;3.017058e-08;-1.873267e-06;-5.193455e-06
0.1068227;2.91403e-08;-1.952507e-06;-1.177516e-05
0.1073582;2.807803e-08;-2.014879e-06;-9.298523e-06
0.1078875;2.699722e-08;-2.068372e-06;-8.054567e-06
0.1084109;2.591203e-08;-2.078597e-06;-1.460021e-06
0.1089313;2.484317e-08;-2.029271e-06;7.791018e-06
