Time;Y;Vy;Fy
5.99988e-06;-5.498045e-13;-1.832718e-07;-0.002473136
1.319991e-05;4.378364e-12;1.552202e-06;0.01951546
2.183957e-05;7.946769e-12;-7.261498e-07;-0.02135103
3.220752e-05;2.605522e-12;-3.041881e-07;0.003295147
4.464906e-05;-4.210648e-13;-1.823411e-07;0.0007929313
5.957892e-05;-5.63653e-12;-5.163216e-07;-0.001811175
7.749581e-05;-1.386001e-11;-4.016372e-07;0.0005182466
9.899839e-05;-2.275512e-11;-4.257149e-07;-9.066063e-05
0.0001247993;-3.438465e-11;-4.757686e-07;-0.0001570715
0.0001557587;-4.885318e-11;-4.589073e-07;4.409511e-05
0.0001929032;-6.614369e-11;-4.720805e-07;-2.871411e-05
0.0002374798;-8.734645e-11;-4.792143e-07;-1.295737e-05
0.0002909718;-1.129114e-10;-4.766284e-07;3.913495e-06
0.0003551759;-1.435371e-10;-4.77383e-07;-9.522006e-07
0.0004322407;-1.802056e-10;-4.74243e-07;3.298127e-06
0.0005246899;-2.237901e-10;-4.686418e-07;4.904455e-06
0.0006355877;-2.754001e-10;-4.621267e-07;4.755415e-06
0.0007686056;-3.362936e-10;-4.534412e-07;5.285246e-06
0.0009281416;-4.077795e-10;-4.427305e-07;5.433925e-06
0.0011194;-4.913142e-10;-4.307965e-07;5.049901e-06
0.001348821;-5.88564e-10;-4.169861e-07;4.871301e-06
0.001624383;-7.013074e-10;-4.012929e-07;4.607962e-06
0.001954503;-8.308831e-10;-3.837288e-07;4.304206e-06
0.002349848;-9.78814e-10;-3.646332e-07;3.906507e-06
0.002823877;-1.146427e-09;-3.425473e-07;3.767384e-06
0.003385589;-1.331502e-09;-3.164169e-07;3.760689e-06
0.004034008;-1.527787e-09;-2.890078e-07;3.415825e-06
